collection,collection.label,ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,classif3,classif3.label,classif4,classif4.label,classif5,classif5.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,
IR,Industrial relations,ALB,Albania,FX:7131,ALB - ADM - Administrative records and related sources,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2009,12.6,,,,,,,,,
IR,Industrial relations,ALB,Albania,FX:7131,ALB - ADM - Administrative records and related sources,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2010,12.9,,,,,,,,,
IR,Industrial relations,ALB,Albania,FX:7131,ALB - ADM - Administrative records and related sources,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2011,13.3,,,,,,,,,
IR,Industrial relations,ALB,Albania,FX:7131,ALB - ADM - Administrative records and related sources,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2012,14.1,,,,,,,,,
IR,Industrial relations,ALB,Albania,FX:7131,ALB - ADM - Administrative records and related sources,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2013,13.3,,,,,,,,,
IR,Industrial relations,ARG,Argentina,FX:157,ARG - ADM - Registros administrativos y fuentes relacionadas,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2005,37.0,,,,,,,,,
IR,Industrial relations,ARG,Argentina,FX:157,ARG - ADM - Registros administrativos y fuentes relacionadas,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2008,30.7,,,,,,,,,
IR,Industrial relations,ARG,Argentina,FX:157,ARG - ADM - Registros administrativos y fuentes relacionadas,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2009,31.9,,,,,,,,,
IR,Industrial relations,ARG,Argentina,FX:157,ARG - ADM - Registros administrativos y fuentes relacionadas,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2010,30.1,,,,,,,,,
IR,Industrial relations,ARG,Argentina,FX:157,ARG - ADM - Registros administrativos y fuentes relacionadas,ILR_TUMT_NOC_RT,Trade union density rate (%),,,NOC_VALUE,Total: Value,,,,,,,,,2011,31.8,,,,,,,,,
