Region;Sub Region;Country;Status;Group;Year;Value;Rate
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Total;2012;17758;190.5424096
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Total;2013;19797;206.2147546
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Total;2014;21297;215.2997587
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Adults;2012;17574;352.3314442
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Adults;2013;19627;380.6642647
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Adults;2014;20889;392.3124858
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Adults Males;2012;16399;689.9911937
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Adults Males;2013;18326;748.4998146
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Adults Males;2014;19760;784.0912022
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Adults Females;2012;1175;47.55752639
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Adults Females;2013;1301;51.02270922
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Adults Females;2014;1129;42.94841435
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Juveniles;2012;184;3.582097688
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Juveniles;2013;170;3.201523473
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Juveniles;2014;408;7.428611589
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Juveniles Males;2014;397;14.49171143
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Juveniles Females;2014;11;0.399596335
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;National Citizens;2012;17685;189.7591234
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;National Citizens;2013;19750;205.7251807
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;National Citizens;2014;21210;214.4202414
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Foreign Citizens;2012;73;0.783286175
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Foreign Citizens;2013;47;0.489573848
Africa;Eastern Africa;Burundi;Persons brought into Formal Contact;Foreign Citizens;2014;87;0.879517256
Africa;Eastern Africa;Burundi;Persons prosecuted;Total;2011;18784;207.7070093
Africa;Eastern Africa;Burundi;Persons prosecuted;Total;2012;20161;216.3264737
Africa;Eastern Africa;Burundi;Persons prosecuted;Total;2014;24015;242.7770909
Africa;Eastern Africa;Burundi;Persons brought before the Criminal Court;Total;2006;9946;129.5838698
Africa;Eastern Africa;Burundi;Persons brought before the Criminal Court;Total;2007;9686;121.9964852
Africa;Eastern Africa;Burundi;Persons brought before the Criminal Court;Total;2008;11174;136.0647929
Africa;Eastern Africa;Burundi;Persons brought before the Criminal Court;Total;2009;14141;166.579672
Africa;Eastern Africa;Burundi;Persons brought before the Criminal Court;Total;2010;14547;165.930377
Africa;Eastern Africa;Burundi;Persons brought before the Criminal Court;Total;2011;14500;160.3360112
Africa;Eastern Africa;Burundi;Persons brought before the Criminal Court;Total;2012;14774;158.5242459
Africa;Eastern Africa;Burundi;Persons brought before the Criminal Court;Total;2014;14457;146.1515054
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2004;86460;246.5008413
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2005;79622;220.8759539
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2006;75143;202.8038934
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2007;69486;182.4454288
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2008;61438;156.9361069
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2009;75501;187.6397774
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2010;65943;159.4746254
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2011;82242;193.5705313
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2012;84134;192.7617365
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2013;81900;182.7030046
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2014;78877;171.3813913
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Total;2015;70515;149.2815085
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults;2005;79622;452.0012246
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults;2006;75143;413.1224305
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults;2009;75501;378.4349281
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults;2010;65943;321.0252635
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults;2011;82242;388.768439
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults;2012;84134;386.1623579
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults;2013;81900;364.916443
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults;2014;78877;341.1553348
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults;2015;70515;296.079917
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Males;2009;64782;644.8024535
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Males;2010;49747;480.9191204
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Males;2011;74215;696.6471667
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Males;2012;69614;634.3876875
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Males;2013;69167;611.7596863
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Males;2014;62628;537.6146556
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Males;2015;55941;466.1485461
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Females;2009;10719;104.7570899
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Females;2010;16196;153.7202123
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Females;2011;8027;73.9618323
Africa;Eastern Africa;Kenya;Persons brought into Formal Contact;Adults Females;2012;14520;129.8571214
