Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14215.26126;;;;;;;;;
Afghanistan;AFG;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;544.0305617;;;;;;;;;
Angola;AGO;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1036.227422;1084.148118;1088.8264;1103.846265;1132.847429;1157.205641;1206.153938;1282.221926;1284.381739;1365.474406;1446.884143;1511.828385;1644.886173;1636.306086;1675.190612;1667.446816;;
Albania;ALB;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1006.080569;829.8829535;993.6313991;1220.877236;1336.382912;1426.90461;1567.476884;1796.923627;1888.468069;2037.538035;2238.769874;2603.908392;2987.192893;3128.241035;3198.072058;3264.477072;3274.661867;3341.229986;3442.236663;;;;;
Andorra;AND;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2100.146762;2131.718058;2159.154094;2185.339469;2300.342657;2360.005201;2523.218431;2701.806739;2877.994821;2716.526631;2595.382489;2660.825969;2709.394282;2757.667763;2856.154917;2813.671013;2837.423831;2873.359593;2858.868866;
United Arab Emirates;ARE;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39466.45687;39793.84599;38038.55345;38668.09034;35203.51164;35120.81905;33887.19918;32998.93246;21271.15599;14330.01792;15187.57774;13256.98656;13862.12188;15542.47747;12511.14777;12582.22709;12521.93577;12270.83335;
Argentina;ARG;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4850.703877;5080.373325;4798.620667;5004.115698;5390.448169;5514.97163;5344.932485;5251.557481;4896.282851;4148.26789;4439.293674;4809.976801;5112.304804;5615.112238;6078.479114;6454.458065;6045.340004;6671.332313;7212.702622;7210.341405;7389.564825;6990.231798;7168.117978;7037.394587;7242.371558;6998.943711;
Armenia;ARM;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;864.0629481;966.9909487;1022.164703;1116.432153;1179.184945;1195.549699;1301.855499;1404.208197;1528.846445;1648.571498;1805.598875;1982.567695;2163.625255;2471.188777;2626.096809;2525.760975;2631.556634;2695.444761;2932.390133;2945.389891;2959.515591;2718.118803;2680.367413;3011.246903;3147.004119;
American Samoa;ASM;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7393.684794;7518.31942;7814.24917;7741.288308;7640.221144;7592.728627;7524.49776;7408.517684;7168.458781;6887.910331;6766.615146;6988.289675;7035.255454;7013.703485;7098.352942;7113.795242;7152.698268;
Antigua and Barbuda;ATG;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;AUS;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;10331.74607;10352.5938;10356.30772;10713.69246;11245.28971;11578.66316;11649.71127;12092.04857;12470.25919;12862.01639;13381.50264;13438.72505;13669.74699;14090.94723;14601.31063;15126.07331;15088.31284;15714.11827;15839.76921;15901.96399;15989.82897;16247.87733;16870.99896;17062.91397;17047.6933;16965.84163;17552.71955;17637.06732;17902.0424;18417.17253;18928.37007;18869.37113;19076.87882;19244.16644;19450.6889;20067.44806;20479.76698;20853.75837;21658.92071;22640.17623;23324.40472;23743.87365;24182.40958;24848.82167;25800.13908;26619.05816;27080.76713;28376.51687;29180.82836;28748.56813;29225.69674;29971.02777;30327.95587;30337.85135;30617.54474;30888.23602;31242.32695;31421.72553;31828.37699;
Austria;AUT;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;10568.84693;11228.66162;11842.3552;12409.56146;12759.13431;13208.45765;13833.12208;14716.92427;14477.63907;15190.72675;15573.50343;15731.95647;16023.00197;16921.05456;16562.08437;16854.08863;17212.75072;17617.76944;18016.46107;18579.0306;19218.81506;19597.76848;20057.66818;19914.01831;20242.80687;20384.12834;20954.89331;21019.08959;21606.03121;22085.353;22718.93066;22922.03074;22965.09112;23251.79486;23644.29471;24011.77568;24393.20034;24582.62107;24737.69056;24882.85531;25069.94909;25321.66137;25338.03162;25169.22782;25049.12498;24890.75593;25021.25596;25200.74033;25342.25763;
Azerbaijan;AZE;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1158.11047;852.0655644;615.3377906;592.4760459;642.2427379;711.7701385;803.0478558;893.1469924;1078.480527;1036.726387;1156.919349;1214.518719;1332.180944;1598.153755;2155.610162;2516.807671;2626.805293;2737.212152;2299.876404;2812.779964;2836.716325;;;;;;;
Burundi;BDI;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.5066684;198.3985319;190.87605;185.3526362;182.5924492;192.356261;180.5672937;181.9301432;198.4985262;212.1969138;202.3258269;202.5416508;196.6061224;189.8236796;198.2754445;199.7021921;213.9251219;215.1358603;204.1774026;194.4304722;188.6395427;189.1559307;
Belgium;BEL;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;10495.41485;10991.66166;11596.79625;12502.52773;12812.77603;12885.12933;13516.04827;13854.5729;14187.18547;14901.79217;14764.39011;14826.48676;15192.16054;15170.54751;15226.75908;15634.50957;16053.8727;16318.54204;16806.47903;17299.4378;17795.46174;18264.93992;18538.09992;18383.03437;18765.37307;19021.24452;19356.83264;19606.09825;20178.40353;20557.52792;21085.40781;21211.21506;21245.49213;21308.60843;21442.3682;21632.73578;21871.95155;22166.20272;22294.16466;22244.77574;22705.73518;22606.20799;22796.13141;23067.6709;23092.26476;23322.76575;23642.74391;23983.37138;24235.1402;
Benin;BEN;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;424.9495003;425.9998814;414.7939824;442.4698568;473.9158075;499.1540063;539.7989967;542.1016835;549.5282915;539.4149895;536.1437896;529.5371203;538.1474853;546.237162;536.610305;513.4373983;500.322426;546.9781113;547.4205144;560.9432683;575.6644074;611.2234662;525.1288014;501.9742168;527.5336269;570.0494968;544.8513581;517.9978967;560.2463242;503.5235337;461.0324769;488.0045511;498.78386;507.1039928;463.988813;467.9368825;479.4344546;488.4796363;500.0844116;511.3576711;533.5420753;533.7371815;547.2218665;541.9489357;539.3095562;546.2727189;550.4982085;555.6371523;568.1014297;562.6939404;556.9517347;554.2637957;552.7181552;554.4314107;568.4864862;556.729179;561.5682559;564.9333223;565.7201423;
Burkina Faso;BFA;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;238.7774038;238.1052153;266.599809;267.0380122;268.6663186;248.5395581;249.1507094;234.2173579;228.0317361;237.4631468;248.1910288;259.7424484;283.4610093;275.6140714;276.6721018;290.4714719;295.4476278;293.2026554;287.1131837;262.0349256;267.1953653;297.1611913;274.5848511;282.5122022;270.0956234;255.1855015;261.5252569;256.3858151;266.1409643;207.1267887;235.6673433;271.2839571;270.2972118;297.6247668;338.247782;319.7445673;319.6681796;323.3463868;341.230275;343.6395263;358.3558401;354.8784268;354.7042945;386.6735866;366.2871187;361.6231508;363.5726754;376.3063722;390.1352819;397.3830656;396.2725761;408.9618766;391.8525678;413.321811;
Bangladesh;BGD;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;619.8071312;656.8166271;627.6956153;640.2334073;687.7708857;670.5777185;660.8046747;636.7505888;635.9480201;643.0689016;682.3763761;645.3092949;595.5350005;504.3818016;472.2758674;442.0007442;431.5258721;368.2713004;414.8549408;416.3339682;421.740101;396.8147751;374.3274282;374.2801195;390.9160512;385.8312426;386.5366769;386.8075792;391.5225186;385.2138386;404.6866032;394.1319556;400.6362422;405.3920511;411.3409189;417.7382778;408.5385023;404.2032541;402.5807334;410.2639745;422.3482907;431.5842616;428.2805346;437.9845019;456.6934079;480.2533512;507.2207643;538.2836796;553.3331739;559.7280122;578.9492543;609.5182383;627.3083222;651.8887498;670.2980124;701.4094416;714.6261155;759.5220775;834.4351163;
Bulgaria;BGR;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;2374.319529;2473.554095;2596.434727;2649.733309;2779.823561;2776.855434;2830.474371;2987.840148;3180.264963;3094.890494;3330.724748;2521.229651;2487.287057;2434.497637;2335.296641;2781.291314;2889.875268;1963.934077;1937.636057;2090.693661;2296.412124;2522.161796;2727.276262;2924.063379;3222.336444;3488.795915;3815.338754;4279.612064;4457.333856;4289.579742;4330.485347;4471.943878;4647.341692;4552.381511;4711.305893;4921.806886;5130.037523;5364.231683;5639.004325;
Bahrain;BHR;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8131.576375;8324.369525;7953.297857;7755.003132;7382.956469;7079.175352;6645.176095;6444.45256;7497.50034;7824.527351;8534.146359;8833.488308;8783.588891;9541.796692;9327.555586;9256.576419;8951.470119;8419.165572;8582.524012;
Bahamas, The;BHS;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19037.48037;18322.02896;17207.88231;16040.11179;15693.30974;15759.63442;16649.79834;17484.89533;17472.32746;19261.33687;20564.40898;20757.54946;20596.08474;20983.24608;20435.21157;19748.03764;20949.49603;21163.63031;21016.61413;19911.20714;17633.72283;17544.55658;16963.64867;17418.65229;16894.95186;17518.85347;17472.20403;17269.72205;18252.64276;18422.40751;
Bosnia and Herzegovina;BIH;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3774.502693;4046.452624;4055.630317;3891.477239;3928.822327;3967.215481;4011.814998;4084.539889;4236.056942;4378.132023;4534.573743;4678.867835;4835.608559;
Belarus;BLR;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1101.861127;1032.625185;973.9245127;924.1486594;795.8521288;705.3683976;745.4697496;830.0235535;944.4619698;1034.707398;1119.934676;1320.510632;1475.66174;1592.907775;1754.582188;2025.272805;2296.589399;2615.596722;3053.285059;3060.106386;3355.061584;3435.436448;3806.065744;4210.816599;4387.153502;4278.557756;4136.901987;4332.062397;4692.722083;
Belize;BLZ;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;1819.953756;1407.869197;1554.994753;1395.937406;1155.832816;1055.504935;949.9363643;1099.856071;1256.497318;1371.211052;1440.128309;1565.470341;2702.307845;2696.296191;2789.616092;2844.820024;2798.613094;2760.399389;2836.102504;2970.608946;3103.710283;3301.510437;3424.596525;3458.360609;3361.813123;3209.026273;3049.695697;3070.413438;2935.401195;2981.82409;3005.081923;3070.893819;3037.648742;3117.761233;3072.001619;3150.562649;3251.629007;3051.878053;2905.142051;
Bermuda;BMU;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48546.57269;;;;;;;;;
Bolivia;BOL;Households and NPISHs Final consumption expenditure per capita (constant 2010 US$);NE.CON.PRVT.PC.KD;694.5373456;730.661713;717.5847987;743.0064339;734.2529542;771.4454279;813.1250111;844.7435267;851.6869373;888.2765856;926.5548202;939.1513927;928.068609;983.0899252;992.1930714;1010.438552;1065.578095;1095.961138;1041.965175;1028.276901;1025.229039;1008.28843;948.3734887;886.8335748;868.8856823;885.1286057;910.0687726;918.8870446;907.6966887;904.5419658;915.508735;926.1549166;939.066172;950.1308569;957.8406648;965.9463752;977.3709124;1009.896172;1042.034867;1050.030876;1053.644962;1046.875912;1048.415513;1048.615454;1059.708981;1075.626392;1099.980271;1126.306634;1168.138971;1191.036173;1218.222774;1260.98597;1298.124173;1353.584594;1405.073955;1455.936298;1483.283238;1531.103244;1574.41422;
