Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;-4.601948558;-4.62873639;-7.427887738;-6.717045527;-20.67709352;-24.02108739;4.569698938;3.853428026;6.507362682;-0.021153724;-5.007833596;-12.78180134;-1.127316283;-25.27944329;11.05687226;16.08030259;-17.52661871;-8.190713101;12.15567811;4.50346715;12.80863345;9.876094852;0.004070004;6.870109546;-19.24748773;-10.21910605;3.583865991;-12.83099675;-5.113695847;4.112396887;5.329558252;;;
Afghanistan;AFG;Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;;;;;;;;;;;;;;;;;;;;-2.693391157;1.471830649;-5.915853607;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.493528052;1.248568415;-1.875227825;-11.38344545;-24.40527812;-23.62114466;-19.36443243;-20.07860272;-21.74568775;-21.43083507;-18.87484323;
Angola;AGO;Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;2.581564033;-4.284463886;5.529528415;-5.34823355;-1.293978222;-2.097292096;-5.465973;-8.844399594;-11.58835844;-7.656048282;-5.326960766;43.39867365;-11.55199269;-28.69757314;-27.79833285;8.715063656;-16.01297892;-0.981927017;-4.039582245;2.892476843;13.89709218;20.40781491;16.2123884;8.125547549;-10.76938871;8.957039766;11.70468996;10.80896268;5.957924281;-2.571862609;-8.841138892;-3.050907803;-0.518217606;7.000035353;
Albania;ALB;Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;-1.512917941;-1.918768479;-0.152575213;0.249904333;-1.321154499;-1.744271201;-5.831740963;-15.27885232;-7.773987153;1.257049317;-8.362788636;-0.480615552;-3.353499565;-12.05360276;-2.555806636;-4.837927794;-4.490920941;-5.542949678;-9.37243385;-7.249670458;-4.981785656;-7.097242737;-7.541576873;-10.77810578;-15.62852837;-15.3804649;-11.36583134;-12.93299388;-10.20021721;-9.274149207;-10.77532017;-8.60482412;-7.590727495;-7.5411365;-6.689211887;
Andorra;AND;Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United Arab Emirates;ARE;Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;ARG;Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;;;;;;;;;;;;;;;;;1.272242256;1.983057709;3.195434377;-0.740769311;-6.203067397;-5.989055811;-2.790973955;-2.342778348;-3.15455411;-1.076720048;-2.577197783;-3.811668772;-1.245574554;-1.702835101;3.22032099;-0.341028913;-2.424838537;-3.466178295;-4.264858985;-1.983460274;-2.487593011;-4.144680066;-4.844316045;-4.212295062;-3.159922377;-1.406947885;8.970784678;6.379906802;1.950583243;2.653631422;2.794495643;2.103616039;1.499401416;2.178566962;-0.3831187;-1.007271039;-0.391595124;-2.377495666;-1.74400212;-2.962926665;-2.709226273;-4.916457458;-5.285685482;
Armenia;ARM;Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5.637996814;-7.891063059;-15.02924466;-20.17628836;-20.47821387;-21.97510346;-16.93557033;-15.78121033;-10.43981657;-6.220104597;-6.181198505;-2.204359176;-2.528323919;-2.39537307;-7.356600994;-14.22464794;-16.48371228;-13.6219495;-10.4403287;-9.962332237;-7.310508258;-7.767866538;-2.720089213;-2.06109215;-2.988020842;-9.372598314;
American Samoa;ASM;Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
