"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","11585.7786322753","14115.5758149546","17478.97406204","20392.4959009318","22030.0880107183","24157.8460594025","25143.2421538458","26736.920400304","29071.4729212339","29426.4478860615","29689.0625","32090.6718470234","34150.2343114452","34647.6040671872","36911.0541203923","36997.5672242675","36582.0279602493","37292.4332848882","40400.2552234725","41707.0708080495","43041.8914630276","46245.8012250543","48484.0113267491","44089.3812898584","42087.558646195","44721.8602098909","44230.1880538522","44782.7730237336","45695.8427669926","46175.5206486424","45200.4350231822","45922.632618939","",
"Afghanistan","AFG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","2689.9796928777","2694.51687640262","2632.17932245566","3545.22411163301","3699.3799736748","4558.07120733751","6205.47128536294","7259.49000398163","5827.79942299129","5840.93436337686","7073.43400751547","7216.77759993694","6125.26564715397","6484.96435181698","7872.39172437928","8458.90218061766","8956.17777280732","10170.2404691687","11217.9323817807","12144.2624107639","12122.2458687371","13191.4055695309","","","","","","","","","","","","","","","","","","","","","8287.68696323458","9597.22492896225","10356.6548443033","12291.7198646808","13441.5616536228","18237.3238743422","18870.3111900181","21842.7680704103","25213.5858081162","28622.9342353034","33514.5332674332","35888.7239563177","35913.9375884135","36244.3262598657","37921.2104345933","38713.8181277999","",
"Angola","AGO","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","1.98690691660713E-05","1.79630294474654E-05","1.73300613628394E-05","1.74248453445692E-05","1.7849152614947E-05","2.13028215871329E-05","1.93750955422823E-05","2.15603202395593E-05","2.27876242532635E-05","2.58062710051215E-05","2.76027010850893E-05","5.57615813219733E-05","0.00029302119892708","0.00219341863991034","0.0489910594387045","1.05230263605129","56.9048385115013","116.096971690799","164.844400121308","1076.56751829463","5575.48347039376","11606.1775161503","37864.8091132987","73005.1692632754","104293.493605013","164804.760424501","207762.26941341","238423.165370548","305309.288115216","247337.152347058","329565.159942712","433590.588050242","487124.51239065","507532.540681867","532080.648232464","500740.806328044","574369.190666283","680303.680087058","",
"Albania","ALB","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","5610.77351509002","5691.06430682275","5735.33964640025","5676.07139340919","5486.77898478496","5490.04945422263","5550.9877970711","5398.34706455593","5222.19457117253","5583.96477261216","4937.84348412404","4846.85272086666","15070.4441800668","37485.4359094806","55488.6492310609","69579.1559277542","105541.51424559","105239.65300429","123012.405187101","142690.793617299","162251.414442153","184123.250548253","200095.706012107","222968.295995284","243697.01536767","267031.868309576","291636.188170144","325091.74189912","366664.698773188","390752.715866234","425553.059864656","447689.053574717","459526.458582796","466324.731649288","482954.230792661","497901.727460276","512934.351053736","540424.304243982","",
"Andorra","AND","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","1362.46086669962","1460.48749951094","1629.09415439536","1870.82742986682","2191.05352303523","2473.33984693047","2875.97004122479","3538.50050349394","4206.96861013131","4768.53064506864","5333.42667812682","5755.552","6345.65884338089","6915.52842146475","7467.66964829298","7945.43049327354","8721.54051207086","9362.45795067589","10014.4803109014","10790.9205308115","11564.9727567925","12198.0713239576","12643.0070642576","12633.4486887209","13070.644734113","13834.7220046985","14477.7750155376","16150.6925552256","16965.3908515481","18079.0414789498","23809.9097721364","24840.735955807","26290.3110679667","29039.9278511109","31010.7024815067","33194.8723800829","34872.1462878591","35494.5998572863","32623.2694577933","31195.6856337761","30000.9473173158","29566.4529378754","29879.7782387694","30594.7665494875","31877.7375257185","32495.7058989412","33657.5613669595","34738.6474371468","",
"Arab World","ARB","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","105196.599822487","117399.832751881","129768.472043811","107996.132644656","125149.153396916","155065.69555941","161569.274689981","143880.223110517","125397.826121654","116404.672660446","107153.434954265","84638.9597192807","85581.7642905381","80422.7921748903","86682.3876180709","100057.844051148","96063.7067734131","95422.3514465128","92506.812297698","93490.0626361819","98555.6308752787","105047.802039657","107191.454846464","97921.0012173444","103784.868424135","121454.234252795","114073.466521068","114990.9672357","122039.096381228","132801.89905358","144842.672727217","155611.984055038","156715.172085286","168049.580579721","121459.032298501","128676.660842078","148495.210421477","154563.368853248","159074.857129977","163217.143410878","143675.727543181","141456.621916861","149466.524186595","",
"Argentina","ARG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","6.37802212756877E-09","7.96098776327696E-09","1.00121717291718E-08","1.17229106172278E-08","1.63739299694374E-08","2.1624178897376E-08","2.659324520314E-08","3.49059353128873E-08","3.97781234762768E-08","4.63429019553387E-08","5.00645333482278E-08","6.83177372368609E-08","1.12119023115449E-07","1.87557500689713E-07","2.54218583801146E-07","7.44324950670341E-07","3.86518145483321E-06","1.05625058026461E-05","2.59776285341664E-05","6.9791314336315E-05","0.000136640404400096","0.000261857705513881","0.000753690756638609","0.0037172287867575","0.0264336933135443","0.174570992198009","0.32355773574594","0.744810946320066","3.49300814954511","100.548105523752","2105.79129152237","5449.73344213238","6734.12531115965","6933.41000771102","7449.48038977242","7373.42824568235","7683.57406483774","8172.66432306173","8248.76198864344","7736.36962254054","7669.27391554066","7170.69467365192","8249.8072678432","9812.46655029308","12525.9883446631","14881.3618800716","18097.1779466006","22441.209588918","28468.996487553","30586.9462489982","40309.659428299","52308.8660482702","62663.1399691078","78709.788233054","106536.180155585","137144.574247431","186755.50194618","238436.821246196","",
"Armenia","ARM","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.219235111986","22.7344632381533","90.0979142038045","1254.32265131733","56968.4462155034","162325.295476825","208700.805500889","256722.922192369","307327.791309763","319662.757278448","335985.904297254","385450.599953125","449083.044018963","538352.26651415","635852.08617442","752326.751885697","897816.393442623","1073720.85633551","1226945.55432533","1087609.36154185","1202582.09835503","1313802.53242736","1480421.91981601","1574433.74117724","1661479.96366414","1729077.70102333","1732517.01987407","1900357.11238888","",
"American Samoa","ASM","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8751.76652874972","8914.52543261668","8639.30885529158","8508.40691498359","8456.94799658994","8980.53641434813","9871.99719445906","12058.26382343","10352.8227618312","10375.9942154736","11660.329531052","11589.8530023324","11598.7517362051","11901.9752597368","11744.8155542366","11394.4752969932","",
