country;cl_Kangas_1994;cl_Ragin_1994;cl_Shalev_1986;cl_Obinger_Wagschal_1998;cl_Sain_Arnaud_Bernard_2003;cl_Powell_Barrientos_2004;cl_Bambra_2006;cl_Scuggs_Allan_2006;cl_Castles_Obinger_2008;cl_Schröder_2009;cl_Vrooman_2009;cl_Esping_Andersen_1990;cl_Esping_Andersen_1999
Australia;Rad;Lib;NA;Rad;Lib;Con;Lib;Lib;Lib;Lib;Lib;Lib;Lib
Austria;Con;Cor;Con;Con;Con;Lib;SD;Con;Con;Con;NA;SD;Con
Belgium;NA;Cor;Con;Eur;Con;Lib;SD;SD;Con;Con;Con;SD;NA
Canada;Lib;Lib;Lib;Lib;Lib;Lib;Lib;Con;Lib;Lib;Lib;Lib;Lib
Denmark;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD
Estonia;NA;NA;NA;NA;NA;NA;NA;NA;CEE;NA;NA;NA;NA
Finland;SD;Cor;SD;Eur;SD;Con;Con;Con;Con;SD;NA;SD;SD
France;NA;Cor;Con;Con;Con;Con;Con;Con;Con;Con;Con;Con;Con
Germany;Con;NA;NA;Eur;Con;Con;Con;Con;Con;Con;Con;Con;Con
Greece;NA;NA;NA;NA;Sou;Con;NA;NA;Sou;NA;NA;NA;NA
Hungary;NA;NA;NA;NA;NA;NA;NA;NA;CEE;NA;NA;NA;NA
Iceland;NA;NA;NA;NA;Lib;NA;NA;NA;NA;NA;NA;NA;NA
Ireland;Rad;NA;NA;Eur;Lib;Lib;Con;Con;Lib;Lib;NA;Lib;NA
Italy;Con;Cor;Con;Con;Sou;NA;Con;Lib;Sou;Con;NA;Con;Con
Japan;Con;NA;Lib;Lib;NA;NA;Lib;Lib;Lib;NA;NA;Lib;Con
Latvia;NA;NA;NA;NA;NA;NA;NA;NA;CEE;NA;NA;NA;NA
Lithuania;NA;NA;NA;NA;NA;NA;NA;NA;CEE;NA;NA;NA;NA
Netherlands;Con;NA;NA;Eur;Con;SD;SD;SD;NA;Con;NA;SD;SD
New Zealand;Rad;NA;NA;Rad;Lib;Con;Lib;Lib;NA;Lib;NA;Lib;Lib
Norway;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD
Poland;NA;NA;NA;NA;NA;NA;NA;NA;CEE;NA;NA;NA;NA
Portugal;NA;NA;NA;NA;Sou;Con;NA;NA;NA;Con;NA;NA;NA
Slovak Republic;NA;NA;NA;NA;NA;NA;NA;NA;CEE;NA;NA;NA;NA
Slovenia;NA;NA;NA;NA;NA;NA;NA;NA;CEE;NA;NA;NA;NA
Spain;NA;NA;NA;NA;Sou;Con;NA;NA;Sou;Con;NA;NA;Con
Sweden;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD;SD
Switzerland;NA;Lib;Lib;Lib;NA;NA;Con;SD;Lib;NA;NA;Lib;NA
United Kingdom;Rad;NA;NA;Eur;Lib;Lib;Con;Lib;Lib;Lib;Lib;Lib;Lib
United States of America;Lib;Lib;Lib;Lib;Lib;Lib;Lib;Lib;Lib;Lib;Lib;Lib;Lib
