country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Afghanistan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.491;10.551;11.421;12.267;12.816;13.613;15.563;15.029;16.059;17.356;18.469;18.558;18.794;19.096;19.886;19.864;19.483;19.644;20.131;20.663;21.272;21.899;22.542
Albania;3.323;2.971;2.801;2.693;2.516;2.529;2.421;2.363;2.282;2.196;2.117;2.775;9.488;19.912;26.714;28.74;32.344;35.371;37.332;37.574;38.829;39.443;40.245;41.565;41.752;41.829;41.607;42.296;43.197;43.907;45.351;45.452;45.061;44.412;44.281;44.072;43.344;43.17;42.454;42.475;42.47;42.603;43.003;43.411;43.839
Algeria;1.87;1.955;1.876;1.928;1.99;2.018;2.016;2.089;2.287;2.549;3.202;4.875;5.848;6.46;7.98;10.145;12.303;12.941;12.397;13.589;16.256;15.832;15.791;16.794;18.357;20.674;22.186;22.993;26.018;22.932;26.318;30.502;32.162;31.578;30.911;28.617;28.763;29.557;31.034;30.008;30.152;30.985;32.161;33.89;33.659
Angola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.025;0.049;0.067;0.436;2.208;4.458;10.656;20.289;26.363;36.401;41.38;42.033;49.218;40.659;52.926;68.315;71.893;72.659;73.879;70.546;85.026;102.33;133.623;154.715;172.678;183.797;191.541;197.782;204.465
Antigua and Barbuda;1.326;1.313;1.376;1.393;1.396;1.453;1.54;1.637;1.776;1.788;1.752;1.738;1.742;1.732;1.751;1.756;1.776;1.778;1.795;1.796;1.784;1.772;1.756;1.708;1.69;1.712;1.669;1.686;1.726;1.744;1.75;1.731;1.733;1.687;1.688;1.721;1.736;1.688;1.683;1.666;1.667;1.666;1.667;1.667;1.668
Argentina;0;0;0;0;0;0;0;0;0.001;0.015;0.315;0.724;0.804;0.772;0.778;0.786;0.771;0.755;0.734;0.71;0.702;0.68;0.87;0.945;1.006;1.076;1.188;1.33;1.607;1.84;2.199;2.665;3.198;3.896;5.366;6.722;9.389;11.612;15.95;23.909;35.533;45.999;57.142;68.415;77.993
Armenia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.06;0.902;40.24;101.855;120.411;139.275;153.935;152.017;146.716;149.53;148.562;152.491;157.856;157.705;160.144;162.555;168.929;171.938;183.161;187.095;193.506;196.572;197.447;197.681;196.186;196.667;196.873;198.763;201.721;206.109;210.711;214.831;218.954
Aruba;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.027;1.041;1.062;1.12;1.127;1.114;1.152;1.185;1.188;1.182;1.185;1.183;1.218;1.253;1.276;1.248;1.26;1.246;1.197;1.196;1.208;1.174;1.135;1.154;1.158;1.151;1.152;1.154;1.156;1.158
Australia;0.917;0.922;0.974;1.019;1.042;1.063;1.106;1.156;1.218;1.261;1.276;1.252;1.24;1.225;1.215;1.224;1.224;1.217;1.215;1.208;1.234;1.25;1.266;1.285;1.291;1.313;1.337;1.36;1.418;1.413;1.471;1.511;1.474;1.468;1.446;1.42;1.42;1.444;1.44;1.453;1.426;1.424;1.428;1.434;1.435
Austria;0.895;0.871;0.864;0.862;0.871;0.87;0.876;0.873;0.894;0.886;0.88;0.882;0.892;0.896;0.899;0.897;0.889;0.885;0.879;0.869;0.861;0.859;0.855;0.851;0.843;0.838;0.829;0.825;0.825;0.835;0.832;0.83;0.831;0.83;0.833;0.842;0.845;0.84;0.833;0.832;0.83;0.829;0.828;0.829;0.829
Azerbaijan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.001;0.031;0.107;0.131;0.137;0.134;0.135;0.155;0.161;0.165;0.173;0.184;0.205;0.221;0.26;0.326;0.262;0.295;0.36;0.364;0.359;0.348;0.314;0.356;0.406;0.445;0.428;0.419;0.413;0.413;0.416;0.42
Bahamas, The;1.032;1.005;1.003;1.006;1.013;1.027;1.061;1.099;1.079;1.144;1.041;1.033;1.049;1.016;1.016;1.004;0.995;0.992;1.011;1.046;1.033;1.014;1.038;1.031;1.016;1.035;1.013;1.015;1.011;0.993;0.977;0.949;0.962;0.96;0.966;1.024;1.025;1.023;1.005;0.998;0.996;0.993;0.99;0.989;0.988
Bahrain;0.218;0.218;0.203;0.187;0.18;0.166;0.127;0.136;0.153;0.152;0.15;0.149;0.142;0.142;0.144;0.147;0.145;0.144;0.13;0.131;0.143;0.139;0.138;0.147;0.159;0.175;0.185;0.196;0.214;0.185;0.196;0.211;0.213;0.21;0.203;0.182;0.18;0.187;0.191;0.187;0.184;0.183;0.182;0.182;0.181
Bangladesh;8.485;8.327;8.556;9.18;9.96;10.571;11.348;12.081;12.612;13.036;13.374;13.546;13.453;13.413;13.874;14.363;14.619;14.978;15.544;15.812;15.732;15.765;16.124;16.525;16.844;17.174;17.647;18.422;19.382;20.577;21.874;23.145;24.442;25.551;26.538;27.928;29.436;30.604;31.561;32.769;33.921;35.048;36.239;37.482;38.763
Barbados;1.343;1.376;1.424;1.447;1.47;1.475;1.51;1.582;1.57;1.614;1.614;1.631;1.629;1.673;1.675;1.657;1.669;1.655;1.779;1.832;1.768;1.769;1.757;1.745;1.798;1.86;1.886;1.992;1.986;1.938;1.989;2.017;1.967;1.99;1.964;1.905;1.885;1.897;1.904;1.91;1.909;1.915;1.921;1.927;1.934
Belarus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0.001;0.001;0.005;0.015;0.027;0.038;0.049;0.058;0.067;0.072;0.08;0.095;0.103;0.113;0.189;0.325;0.387;0.449;0.516;0.553;0.59;0.642;0.671;0.689;0.704;0.718;0.733;0.747
Belgium;0.84;0.807;0.818;0.831;0.846;0.858;0.864;0.857;0.846;0.853;0.846;0.842;0.851;0.864;0.864;0.881;0.869;0.862;0.868;0.86;0.858;0.858;0.858;0.859;0.853;0.845;0.839;0.834;0.834;0.834;0.84;0.839;0.839;0.834;0.824;0.824;0.83;0.828;0.818;0.812;0.806;0.799;0.793;0.789;0.786
Belize;1.674;1.59;1.619;1.548;1.498;1.461;1.454;1.36;1.4;1.346;1.323;1.24;1.26;1.251;1.269;1.318;1.32;1.279;1.284;1.237;1.216;1.187;1.189;1.134;1.127;1.123;1.138;1.162;1.171;1.127;1.127;1.15;1.153;1.156;1.152;1.147;1.171;1.168;1.143;1.137;1.133;1.132;1.132;1.132;1.11
Benin;140.291;108.642;116.556;125.702;135.014;134.486;126.333;127.801;123.135;120.662;111.871;109.03;109.825;109.835;145.209;163.702;171.863;175.146;182.257;196.85;200.904;200.466;204.358;206.775;202.904;205.224;203.367;198.82;207.575;211.236;210.642;214.035;226.175;225.381;220.737;220.323;219.556;214.704;211.003;206.183;204.505;204.854;205.104;205.48;205.681
Bhutan;5.097;4.872;4.872;5.032;5.257;5.504;5.76;5.82;6.009;6.338;6.502;6.742;7.202;7.648;8.397;9.072;9.649;10.493;11.539;12.363;12.603;12.774;13.216;13.48;13.578;13.812;14.159;14.378;14.722;15.38;16.035;16.856;18.003;18.996;19.894;20.744;21.374;22.023;22.711;23.518;24.167;24.906;25.305;25.801;26.379
Bolivia;0;0;0;0;0.002;0.187;0.604;0.672;0.767;0.835;0.936;1.066;1.18;1.228;1.298;1.416;1.552;1.613;1.707;1.724;1.773;1.768;1.789;1.868;1.964;2.018;2.226;2.328;2.52;2.441;2.624;2.946;3.096;3.225;3.231;3.05;2.978;3.1;3.119;3.082;3.107;3.156;3.223;3.299;3.395
Bosnia and Herzegovina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.485;0.506;0.488;0.558;0.567;0.578;0.604;0.619;0.64;0.637;0.636;0.636;0.66;0.684;0.725;0.719;0.722;0.724;0.715;0.701;0.695;0.699;0.701;0.7;0.702;0.7;0.696;0.693;0.69;0.688;0.688
Botswana;0.488;0.43;0.447;0.463;0.547;0.653;0.686;0.783;0.954;0.974;0.931;0.958;1.03;1.114;1.247;1.309;1.493;1.545;1.675;1.887;2.107;2.233;2.224;2.255;2.417;2.707;2.824;2.885;2.964;3.132;3.372;3.764;3.7;3.721;4.088;4.121;4.566;4.599;4.531;4.536;4.598;4.753;4.877;4.999;5.12
Brazil;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.012;0.278;0.538;0.625;0.663;0.688;0.732;0.756;0.801;0.865;0.969;1.016;1.059;1.097;1.138;1.214;1.293;1.386;1.471;1.558;1.646;1.743;1.855;1.985;2.016;2.027;2.082;2.127;2.173;2.218;2.263;2.309
Brunei Darussalam;NA;NA;NA;NA;NA;0.803;0.489;0.528;0.466;0.476;0.498;0.468;0.466;0.441;0.394;0.397;0.407;0.435;0.38;0.418;0.528;0.487;0.482;0.502;0.566;0.652;0.696;0.685;0.76;0.586;0.609;0.717;0.713;0.68;0.656;0.535;0.481;0.495;0.528;0.471;0.451;0.431;0.417;0.407;0.398
Bulgaria;0.001;0.001;0.001;0.001;0.001;0.001;0;0;0;0;0.001;0.002;0.003;0.005;0.009;0.015;0.032;0.318;0.414;0.437;0.458;0.475;0.486;0.488;0.502;0.518;0.537;0.581;0.616;0.636;0.636;0.66;0.658;0.642;0.633;0.641;0.648;0.658;0.665;0.674;0.679;0.684;0.688;0.693;0.698
Burkina Faso;188.137;187.345;196.021;202.333;197.006;195.015;179.035;176.876;176.674;178.223;174.903;162.468;159.209;153.282;172.047;179.921;177.302;177.009;188.937;194.51;188.736;191.946;194.821;193.968;189.059;190.315;183.405;183.109;196.068;199.265;204.415;213.659;221.847;213.453;208.216;199.725;195.1;200.622;200.504;200.933;200.963;200.836;200.826;200.824;200.799
Burundi;61.432;52.07;52.348;53.112;59.918;60.971;57.68;54.393;53.269;59.389;59.725;59.743;61.539;64.767;67.622;76.898;86.424;110.243;121.491;144.436;178.461;199.347;202.314;214.339;238.586;265.866;265.399;279.839;340.973;372.534;401.112;425.768;477.463;526.001;561.109;601.802;661.653;734.458;753.844;805.981;859.258;915.663;991.509;1084.227;1186.068
Cabo Verde;27.182;27.213;30.09;32.017;33.614;33.779;38.973;40.82;41.568;41.412;40.868;41.436;41.803;45.385;47.584;48.754;49.693;50.008;51.151;53.952;51.409;50.966;50.011;49.972;48.359;47.192;47.202;47.217;47.959;48.631;48.314;48.592;47.941;47.787;46.85;47.172;46.581;46.033;45.624;45.498;45.306;45.097;45.025;44.94;44.862
Cambodia;NA;NA;NA;NA;NA;NA;NA;29.056;49.201;56.34;133.488;267.667;459.026;929.987;897.169;984.229;995.841;1037.747;1132.486;1130.45;1062.413;1063.068;1053.974;1053.359;1075.224;1106.11;1123.338;1165.254;1283.086;1305.268;1330.497;1347.115;1340.802;1327.981;1338.17;1347.151;1380.588;1399.156;1399.891;1408.957;1418.088;1426.788;1438.875;1453.201;1467.27
Cameroon;157.688;156.78;166.032;180.183;197.486;212.761;208.898;198.991;193.864;183.059;179.465;179.705;173.364;172.685;193.383;207.367;209.296;213.005;218.648;220.435;226.859;225.233;225.809;222.126;220.599;215.538;216.233;212.593;222.327;224.275;225.925;227.212;228.89;229.535;230.09;228.125;228.259;227.361;225.503;223.659;221.889;220.63;219.657;219.076;218.436
Canada;1.119;1.127;1.156;1.176;1.176;1.178;1.19;1.217;1.229;1.238;1.234;1.23;1.22;1.207;1.199;1.201;1.2;1.193;1.178;1.183;1.208;1.201;1.197;1.214;1.221;1.221;1.215;1.222;1.247;1.209;1.229;1.243;1.234;1.234;1.235;1.211;1.208;1.216;1.207;1.209;1.208;1.209;1.211;1.213;1.214
Central African Republic;166.695;174.612;187.98;203.307;195.969;249.62;231.965;212.411;211.693;207.995;198.83;189.649;186.01;178.256;200.491;225.077;217.284;224.793;230.445;232.539;227.535;232.215;232.652;235.613;230.091;233.467;233.375;228.554;236.506;243.798;251.138;255.862;266.564;268.485;294.96;299.823;305.597;319.274;315.84;318.104;319.913;321.456;323.269;325.023;326.487
Chad;86.675;134.143;135.566;140.006;158.533;144.612;126.961;117.581;122.388;116.829;112.237;100.955;94.284;87.929;129.63;140.984;154.463;157.588;166.352;151.566;156.094;173.819;174.377;171.296;183.074;218.5;233.13;234.81;250.092;224.666;235.841;250.443;249.045;234.553;232.049;211.352;206.89;201.391;201.125;202.769;204.621;206.447;208.186;207.551;209.33
Chile;29.242;29.78;31.59;39.317;43.562;58.002;69.422;85.257;101.046;110.337;130.277;154.225;171.621;187.352;209.411;229.311;232.104;235.099;234.907;236.757;241.563;245.615;250.024;256.733;269.69;281.568;306.607;314.284;307.816;319.602;344.439;348.017;345.378;346.214;359.944;373.902;386.444;398.375;396.744;397.949;400.342;405.174;409.507;413.49;417.419
China, People's Republic of;1.497;1.41;1.334;1.298;1.314;1.402;1.44;1.477;1.6;1.673;1.705;1.75;1.852;2.086;2.458;2.735;2.864;2.861;2.804;2.727;2.721;2.719;2.695;2.72;2.83;2.865;2.884;3.019;3.181;3.155;3.311;3.506;3.548;3.569;3.541;3.541;3.502;3.521;3.499;3.497;3.489;3.49;3.494;3.5;3.509
Colombia;27.889;31.279;36.755;42.586;50.22;60.793;76.976;92.679;114.364;137.216;169.609;206.832;248.779;301.116;370.347;431.123;494.785;568.309;645.008;716.082;778.548;811.5;846.538;887.861;927.554;949.528;974.934;998.137;1054.891;1091.346;1119.138;1161.91;1182.007;1190.544;1193.206;1209.836;1259.086;1298.968;1314.614;1343.254;1359.259;1372.257;1385.64;1399.207;1412.748
Comoros;150.148;146.365;152.069;159.756;163.601;161.063;160.383;161.497;158.172;160.74;150.537;160.412;149.371;149.204;164.645;171.25;173.109;171.903;172.305;176.407;183.533;192.886;197.139;203.088;198.626;191.839;197.286;201.798;204.172;204.626;205.657;207.584;212.375;212.371;210.253;211.824;212.923;209.208;207.693;210.261;208.599;208.517;208.285;208.064;207.879
Congo, Dem. Rep. of the;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013;0.068;0.499;1.435;1.89;10.05;61.34;103.877;134.694;149.98;155.347;195.653;215.211;252.065;297.858;392.143;468.199;521.87;542.464;547.885;543.274;531.461;548.892;770.777;976.995;994.793;1022.059;1050.329;1076.249;1110.904;1137.63
Congo, Republic of ;140.381;131.774;127.772;126.61;125.852;125.66;126.901;127.599;106.598;95.713;91.515;87.21;83.929;81.059;108.533;109.914;127.358;131.415;106.272;135.512;194.9;164.159;158.792;149.269;169.787;199.779;229.821;200.462;238.175;212.099;266.008;289.299;272.974;258.104;238.304;166.973;155.245;174.371;209.142;206.344;196.689;186.222;177.054;171.791;168.939
Costa Rica;5.055;6.517;11.303;14.025;15.795;18.457;21.358;22.957;26.353;29.225;33.381;52.956;61.971;66.819;75.666;89.837;101.683;114.559;127.046;139.516;149.313;160.368;173.438;188.534;208.277;228.452;250.65;269.809;294.879;321.408;338.581;346.738;355.032;362.913;376.976;387.184;390.893;393.45;393.262;398.151;403.444;407.722;411.972;415.568;418.425
Croatia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.084;1.283;2.659;2.749;2.801;2.945;3.153;3.224;3.294;3.358;3.42;3.495;3.53;3.541;3.573;3.623;3.756;3.832;3.818;3.802;3.788;3.752;3.685;3.648;3.608;3.58;3.556;3.559;3.544;3.532;3.472;3.485;3.491
Cyprus;0.445;0.454;0.471;0.477;0.498;0.511;0.522;0.529;0.528;0.532;0.541;0.544;0.564;0.579;0.597;0.608;0.613;0.616;0.621;0.626;0.629;0.638;0.63;0.652;0.652;0.645;0.645;0.655;0.672;0.669;0.675;0.673;0.671;0.652;0.63;0.616;0.606;0.605;0.6;0.596;0.595;0.596;0.598;0.599;0.602
Czech Republic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.015;11.862;12.636;13.738;13.948;13.884;14.25;14.409;14.31;14.475;14.048;13.729;13.84;13.855;14.108;13.746;13.468;13.407;13.365;13.448;13.464;13.495;13.436;13.45;13.567;13.634;13.625;13.616;13.598;13.588
Côte d'Ivoire;136.541;128.47;131.023;135.321;152.363;149.506;144.282;135.094;129.226;123.818;113.949;110.953;108.458;112.454;162.206;179.017;183.865;188.365;193.048;191.796;191.816;201.582;211.673;217.791;205.951;202.33;199.811;200.291;213.175;216.525;225.559;228.228;228.081;231.651;236.333;241.164;236.141;227.738;223.279;221.63;220.902;219.974;219.291;218.749;218.254
Denmark;6.783;6.858;7.115;7.353;7.519;7.601;7.624;7.794;7.825;7.904;7.817;7.762;7.715;7.58;7.538;7.478;7.491;7.512;7.521;7.539;7.596;7.62;7.678;7.65;7.605;7.589;7.52;7.501;7.662;7.644;7.8;7.689;7.724;7.658;7.596;7.551;7.527;7.492;7.356;7.345;7.322;7.322;7.343;7.371;7.398
Djibouti;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67.663;70.031;70.39;71.887;75.28;77.331;78.295;79.283;80.117;80.669;80.56;80.451;79.198;79.32;79.781;79.836;80.198;81.985;88.188;88.882;91.33;94.003;96.123;96.732;96.239;97.609;96.754;95.494;93.361;93.727;93.74;93.682;93.677;93.676;93.664
Dominica;1.572;1.461;1.441;1.49;1.527;1.598;1.654;1.706;1.722;1.797;1.787;1.861;1.9;1.905;2.008;1.982;2.01;2.005;2.033;2.055;1.974;1.972;1.956;1.861;1.881;1.798;1.786;1.766;1.758;1.885;1.868;1.861;1.79;1.828;1.794;1.882;1.933;1.908;1.888;1.884;1.88;1.877;1.877;1.877;1.876
Dominican Republic;0.647;0.634;0.641;0.658;0.789;1.058;1.134;1.267;1.756;2.089;3.029;4.637;4.786;4.908;5.293;5.685;5.787;6.227;6.558;6.713;7.039;7.304;7.688;10.073;14.24;14.608;15.12;15.849;17.163;17.629;18.374;19.449;20.056;20.635;21.135;21.435;21.638;22.126;22.49;22.608;23.147;23.645;24.15;24.665;25.165
Ecuador;0.644;0.58;0.539;0.469;0.462;0.502;0.35;0.34;0.282;0.266;0.253;0.261;0.269;0.301;0.341;0.355;0.358;0.379;0.37;0.275;0.247;0.31;0.342;0.371;0.377;0.394;0.413;0.429;0.479;0.479;0.508;0.526;0.542;0.549;0.556;0.536;0.541;0.541;0.541;0.532;0.527;0.523;0.518;0.514;0.509
