country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Afghanistan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;848.304;902.056;897.513;999.89;1052.752;1179.875;1218.288;1442.729;1538.807;1621.757;1823.087;1896.559;1921.603;1903.914;1913.113;1951.865;2025.472;2094.928;2181.532;2283.882;2401.596;2537.826;2695.338
Albania;2082.077;2361.197;2525.848;2597.954;2688.374;2676.209;2827.772;2817.694;2822.464;3135.162;2875.053;2152.989;2055.939;2320.814;2609.152;2918.919;3263.07;2975.277;3295.094;3797.544;4178.664;4668.061;4971.922;5364.266;5836.815;6383.82;7009.317;7686.137;8488.191;8899.566;9383.479;9849.795;10197.854;10499.961;10906.615;11297.524;11811.747;12494.07;13326.694;13991.142;14866.443;15803.751;16794.599;17845.851;18964.218
Algeria;4654.986;5090.092;5571.582;5908.499;6263.334;6508.234;6451.61;6396.571;6307.636;6702.71;6918.987;6896.014;6994.728;6847.521;6779.046;7043.027;7312.659;7396.56;7738.016;7977.124;8315.217;8625.835;9117.5;9808.399;10349.445;11133.229;11489.919;12013.908;12270.973;12325.125;12664.666;13026.656;13441.898;13766.248;14249.828;14613.714;14911.767;15063.637;15331.743;15696.386;16090.69;16415.123;16699.103;16924.283;17132.051
Angola;1284.213;1308.496;1353.537;1428.23;1528.152;1447.984;1477.75;1536.849;1644.03;1663.575;1622.967;1645.138;1819.899;2007.161;2199.505;2406.166;2645.475;2802.768;2880.852;2899.227;2965.606;3066.131;3437.162;3500.643;3872.461;4459.41;4975.643;5655.469;6222.56;6139.644;6323.302;6484.974;6964.995;7221.681;7485.49;7411.591;7077.096;6977.938;6851.272;6752.384;6762.89;6894.067;7054.723;7274.51;7477.329
Antigua and Barbuda;3908.795;4476.919;4804.648;5337.423;6191.918;6993.058;8094.019;8999.98;9951.395;10985.036;11750.926;12312.177;12533.411;13209.204;14028.212;13337.43;14087.896;14699.099;15153.711;15557.802;16618.717;15871.207;16114.105;17222.418;18501.639;20085.245;23078.815;25617.672;25830.246;22632.514;20936.821;20732.565;21610.358;21624.866;22618.079;23475.054;24756.018;25738.711;28012.75;29345.729;30593.263;31667.681;32598.14;33554.655;34543.119
Argentina;6337.694;6423.922;6496.474;6905.075;7175.075;6771.739;7307.784;7591.456;7612.351;7266.465;7284.39;8210.295;9137.572;9793.019;10450.983;10239.546;10873.101;11820.424;12275.454;11901.163;11944.748;11551.612;10355.794;11385.26;12614.946;14024.955;15460.555;17136.308;18000.36;16898.805;18524.847;19817.451;19764.275;20365.566;20000.192;20537.743;20105.058;20800.31;20551.043;20055.34;19970.52;20448.718;21101.651;21948.521;22854.049
Armenia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1422.67;1281.411;1412.989;1592.38;1732.258;1839.224;1995.632;2102.145;2282.301;2569.872;3006.898;3504.606;3988.983;4724.93;5528.762;6479.469;7088.125;6152.201;6368.636;6803.483;7423.634;7776.968;8192.152;8531.855;8630.802;9496.259;10273.434;11083.073;11844.654;12632.133;13464.199;14350.525;15296.914
Aruba;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28826.386;28571.209;29921.32;30074.991;30510.057;33215.587;32491.651;31844.146;32702.186;35472.959;36077.732;36891.283;38365.851;38873.962;34495.813;33647.861;35230.99;34813.278;36272.965;36819.954;36586.971;36698.731;38094.138;39345.367;40148.459;41176.392;42320.02;43481.284;44684.7;45938.396
Australia;10513.675;11794.155;12326.073;12587.925;13698.361;14693.408;15129.512;16008.521;16975.122;18184.666;18888.594;19097.657;19830.685;20899.779;22172.098;22989.974;24104.587;25388.673;26605.805;27871.634;29019.986;30042.512;31437.314;32508.662;34432.446;36049.207;37602.326;39553.901;40516.047;40852.377;41728.821;43098.706;44819.682;45841.647;47229.419;48193.838;49218.89;50560.909;52379.456;53378.525;54799.038;56477.091;58238.98;60037.524;61879.686
Austria;11257.774;12285.876;13277.185;14225.986;14786.635;15585.997;16254.915;16914.301;17656.597;19016.93;20449.982;21681.776;22384.713;22791.475;23698.401;24779.646;25803.691;26767.829;28007.853;29365.51;30960.845;31918.38;32796.422;33569.901;35194.609;36853.319;39077.378;41486.192;42774.827;41379.228;42530.549;44541.75;45500.105;46032.011;46825.517;47379.176;48229.748;49963.648;52172.116;53558.439;55171.987;56823.474;58520.045;60295.551;62154.301
Azerbaijan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4675.83;3667.117;2965.02;2616.816;2702.927;2965.555;3148.051;3523.129;3788.353;4081.115;4494.286;4997.588;5553.389;7242.269;9909.138;12599.848;14021.246;15205.099;15984.189;15861.326;16299.844;17327.215;17910.751;18066.218;17488.805;17633.927;18022.631;18615.794;19155.918;19733.915;20331.256;20973.185;21652.918
Bahamas, The;11913.72;12426.002;13704.772;14870.416;15432.308;16358.835;16831.853;17588.171;18239.057;19063.319;19653.601;19143.211;18508.485;18680.349;19343.501;20195.904;21071.688;22120.798;23041.921;24642.146;25823.635;26682.612;27436.887;27206.73;27802.005;29249.626;30518.47;31412.339;30914.63;29510.218;29978.707;30452.451;31641.202;30900.825;31354.369;31518.139;31633.348;31894.414;32816.553;33333.172;33431.983;34454.109;35358.798;36238.427;37139.515
Bahrain;17636.426;19079.409;20801.151;22365.081;23355.192;23074.897;22847.261;22329.54;23642.636;23955.157;25500.07;25886.68;27900.123;29934.881;30736.508;31153.742;31903.85;32351.931;33410.614;34983.351;37279.296;37644.52;36782.089;37012.94;37739.298;38506.7;39088.759;40169.191;40863.827;39645.121;39943.002;42962.579;44895.249;46457.745;47071.205;46932.227;47224.719;48964.93;50048.506;50931.48;51991.126;53247.209;54551.62;56073.552;57745.859
Bangladesh;499.655;562.059;599.673;634.829;667.264;695.332;718.072;737.412;761.32;804.337;851.66;896.203;939.308;981.604;1025.744;1074.32;1125.08;1180.644;1229.232;1289.41;1366.638;1438.621;1506.72;1597.925;1715.915;1855.899;2018.611;2184.009;2325.265;2442.218;2591.539;2785.466;2980.852;3177.276;3405.127;3638.284;3900.285;4231.271;4630.291;5027.972;5453.008;5910.605;6402.909;6935.953;7514.217
Barbados;6013.344;6434.596;6477.916;6747.278;7223.262;7512.172;8028.765;8412.582;8982.14;9635.647;9632.375;9536.786;9166.258;9425.963;9785.334;10156.332;10712.763;11371.167;11884.539;12051.717;12825.66;12757.045;13023.241;13514.269;14030.397;14990.639;16258.674;16994.428;17372.288;16547.548;16293.093;16460.772;16642.711;16641.071;16875.302;17417.004;17985.412;18365.035;18655.473;18921.362;19363.581;20008.941;20733.109;21482.665;22261.822
Belarus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5461.462;5575.686;5144.193;4854.921;4383.569;3999.347;4200.063;4784.1;5271.434;5541.227;6008.815;6452.082;6924.429;7602.78;8761.993;9955.159;11360.372;12741.795;14376.364;14552.359;15886.259;17152.522;17810.141;18305.533;18944.154;18383.108;18071.81;18864.474;19940.726;20643.662;21223.741;21793.512;22355.87;22923.883;23415.16
Belgium;10852.809;11836.487;12653.877;13185.869;14005.721;14680.36;15247.06;15975.079;17300.358;18505.138;19759.849;20720.98;21442.427;21639.304;22741.578;23701.86;24490.217;25767.853;26515.206;27798.008;29379.156;30195.282;31078.977;31759.191;33667.779;35275.72;37021.741;39055.801;39817.548;38902.595;40112.113;41077.273;41678.395;42257.774;43412.849;44403.75;45218.147;46701.153;48327.204;49528.891;50904.687;52362.042;53837.244;55373.925;56962.674
Belize;1371.325;1501.281;1446.726;1551.158;1741.674;1723.311;1832.96;2232.704;2512.381;2937.75;3294.262;3698.047;4132.312;4363.832;4337.299;4344.066;4375.472;4448.493;4500.146;4872.728;5478.211;5708.325;5913.574;6380.851;6641.069;6803.352;7098.993;7128.87;7255.265;7342.558;7661.671;7784.074;7960.437;7960.373;8237.107;8388.531;8210.271;8268.309;8503.859;8663.871;8790.555;8899.185;8995.302;9093.991;9192.567
Benin;1015.446;1094.98;1146.951;1131.244;1140.821;1188.516;1207.105;1174.85;1218.483;1194.871;1309.448;1364.088;1387.327;1451.373;1461.378;1530.952;1576.041;1644.592;1678.574;1725.335;1812.331;1892.746;1951.658;1994.789;2075.898;2113.887;2199.099;2326.016;2418.117;2424;2434.797;2488.575;2585.012;2741.94;2888.735;2889.465;2934.652;3073.721;3267.363;3446.424;3647.81;3865.636;4094.368;4336.021;4593.61
Bhutan;475.069;575.356;644.256;702.457;764.342;800.003;853.717;1016.11;1173.103;1262.852;1413.305;1535.506;1624.469;1745.803;1847.801;2011.883;2154.127;2277.253;2381.827;2516.752;2678.247;2843.942;3073.892;3316.627;3532.515;3784.778;4071.325;4616.15;5114.018;5347.414;5815.314;6406.6;6827.44;7080.758;7378.279;7791.86;8317.098;8860.899;9343.63;9876.208;10626.822;11304.479;12131.422;13050.548;13941.296
Bolivia;2096.53;2126.172;2124.279;2074.931;2101.62;2088.155;2032.928;2090.882;2182.047;2305.42;2451.402;2613.231;2661.243;2761.674;2870.256;3007.595;3133.814;3280.573;3416.887;3414.466;3511.051;3581.109;3660.558;3761.35;3953.22;4183.041;4439.531;4687.037;4988.278;5110.462;5296.82;5598.567;5904.187;6212.4;6574.625;6861.006;7129.411;7454.34;7842.232;8172.197;8524.755;8890.854;9267.33;9659.379;10069.144
Bosnia and Herzegovina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2991.932;3766.898;4337.753;4862.217;5181.236;5413.364;5769.969;6098.324;6650.765;7147.931;7787.615;8487.248;9161.548;9197.719;9437.947;9810.166;10038.31;10579.832;11018.72;11573.155;12134.675;12783.853;13583.246;14219.713;14894.162;15624.257;16420.464;17279.756;18206.147
Botswana;1837.665;2136.079;2534.488;2814.053;2994.95;3209.03;3429.426;3894.61;4800.811;5038.627;5481.881;5846.528;5798.861;6006.702;5927.832;6317.364;6648.481;7143.948;7126.074;7778.32;7973.002;8046.849;8556.882;9009.179;9388.658;9995.74;11011.464;12074.373;12895.071;11837.073;12836.171;13596.157;14211.34;15804.531;16455.194;16043.655;16598.883;17085.613;17947.746;18558.387;19387.623;20574.13;21397.095;22264.232;23174.117
Brazil;4899.586;5015.073;5241.125;5149.478;5501.111;5997.969;6449.618;6716.674;6844.713;7212.359;6960.74;7148.431;7153.068;7560.406;8044.951;8429.521;8354.32;8651.458;8644.248;8678.242;9127.373;9325.375;9636.835;9806.207;10524.349;11069.84;11724.696;12636.264;13398.624;13346.942;14378.916;15131.437;15583.335;16195.657;16437.918;15880.886;15386.678;15715.758;16146.092;16461.794;17016.318;17665.719;18332.655;19039.059;19751.237
Brunei Darussalam;NA;NA;NA;NA;NA;54738.588;53233.924;52965.071;52915.369;55084.813;56147.886;58246.334;60839.896;61030.102;62557.981;65289.286;66727.984;65281.123;63991.627;65335.358;67030.382;68679.861;70076.803;72315.911;72541.542;75342.461;79713.225;80734.808;79600.505;77691.836;79283.671;82567.707;83785.041;82491.75;81047.237;80609.906;78512.228;78742.004;78350.306;80383.639;85011.222;88922.466;92895.532;96003.851;98955.587
Bulgaria;4497.023;5168.072;5701.471;6087.234;6585.398;6911.011;7426.134;7978.135;8480.347;8807.325;8358.152;7777.009;7360.119;6736.507;6707.349;6815.126;6448.948;6502.089;6943.423;7042.182;7483.427;8195.748;8870.668;9555.504;10498.379;11660.065;12904.723;14297.345;15521.565;15164.452;15666.149;16694.86;17120.054;17600.372;18365.717;19331.02;20448.499;21786.614;23169.339;24595.091;26034.326;27534.039;29046.843;30641.595;32327.535
Burkina Faso;349.149;383.233;402.631;403.094;413.598;462.808;496.652;494.673;527.779;545.67;547.913;601.501;600.257;618.753;623.049;654.261;719.456;756.732;798.475;845.21;855.739;906.026;933.193;995.48;1037.242;1128.334;1195.767;1243.546;1301.296;1309.808;1394.252;1472.716;1550.634;1620.218;1671.344;1703.69;1771.277;1863.958;1981.957;2077.248;2181.43;2293.621;2410.307;2532.401;2660.978
Burundi;340.445;406.083;414.484;434.001;437.538;490.203;501.624;526.876;556.59;569.528;593.872;630.961;633.799;609.407;588.389;542.978;499.491;501.962;522.45;520.547;525.886;530.454;535.461;545.841;564.705;604.974;637.889;657.9;680.836;689.432;710.469;731.872;755.653;790.124;816.422;769.21;745.23;735.732;732.796;727.168;723.601;720.611;717.219;713.816;710.509
Cabo Verde;800.245;935.508;1002.863;1118.451;1177.481;1292.144;1328.084;1390.452;1494.215;1606.212;1640.527;1680.032;1728.746;1854.075;2031.589;2172.447;2303.211;2463.824;2641.96;2934.946;3153.544;3353.923;3520.394;3787.417;4015.402;4317.313;4790.679;5310.53;5711.807;5622.323;5708.99;5991.785;6101.782;6184.948;6261.697;6312.932;6596.177;6882.1;7320.466;7729.344;8175.703;8657.344;9163.179;9696.391;10261.401
Cambodia;NA;NA;NA;NA;NA;NA;NA;525.259;579.258;603.713;613.252;659.098;696.695;716.236;759.271;795.681;833.169;857.875;885.657;989.303;1084.47;1179.046;1252.717;1360.426;1516.306;1743.256;1960.312;2187.528;2346.322;2332.181;2461.635;2646.492;2860.242;3073.379;3300.249;3511.513;3731.505;4006.806;4348.413;4664.441;5004.101;5369.239;5754.228;6162.074;6596.638
Cameroon;1231.947;1533.83;1703.826;1841.331;1996.621;2168.92;2299.425;2241.688;2077.31;2058.128;1943.099;1875.431;1804.671;1736.732;1679.481;1723.11;1790.71;1866.139;1925.61;1977.401;2036.417;2112.823;2176.256;2254.774;2405.143;2461.255;2551.965;2674.11;2744.386;2749.134;2806.199;2910.356;3025.309;3165.609;3330.644;3468.789;3578.17;3682.868;3830.105;3955.243;4099.367;4266.082;4456.154;4666.885;4895.259
Canada;11786.114;13184.047;13391.108;14134.977;15364.434;16449.238;16972.902;17874.436;19065.507;19926.954;20393.698;20382.01;20783.967;21592.999;22799.736;23656.971;24226.107;25442.38;26504.272;28048.185;29884.284;30760.908;31843.481;32711.044;34305.36;36163.548;37857.215;39294.255;40034.725;38713.59;39926.148;41625.95;42715.71;44009.215;45642.564;46064.134;46568.617;48273.073;49690.168;50725.441;52144.446;53652.54;55159.383;56702.519;58302.179
Central African Republic;443.248;531.917;531.217;506.301;563.053;586.507;620.004;622.242;642.483;679.262;699.284;701.089;665.855;657.443;738.072;759.594;709.711;735.249;752.237;769.429;744.121;766.435;781.508;765.44;772.388;805.861;854.36;896.053;919.836;934.787;970.442;1012.415;1063.128;674.863;674.673;697.59;724.088;756.292;788.839;822.552;863.621;907.399;953.071;1000.989;1051.474
Chad;434.409;413.828;451.679;529.626;563.493;611.922;645.352;668.712;726.366;750.809;784.243;874.127;893.979;875.175;920.87;878.3;891.012;933.995;985.154;967.775;956.049;1064.311;1144.343;1221.595;1635.47;1782.019;1802.781;1865.147;1911.87;1957.243;2194.427;2188.243;2367.449;2485.445;2639.937;2648.412;2465.488;2385.701;2442.485;2480.777;2602.629;2716.355;2847.865;2949.642;3045.659
Chile;3440.898;3935.059;3552.424;3531.343;3813.769;3950.305;4180.963;4487.867;4900.541;5539.195;5860.133;6407.496;7116.011;7651.874;8086.238;8855.103;9502.074;10243.945;10672.34;10643.1;11326.462;11821.24;12244.417;12846.752;13996.635;15109.217;16383.519;17468.396;18244.823;17894.451;18952.231;20305.761;21562.17;22610.481;23204.883;23741.907;24131.33;24553.747;25700.477;26317.067;27150.376;28285.694;29569.109;30937.826;32363.998
China, People's Republic of;309.588;351.295;400.244;454.78;535.795;618.513;676.537;761.679;863.224;920.83;978.295;1091.22;1259.911;1452.355;1657.561;1857.406;2057.132;2262.26;2443.731;2648.145;2915.891;3206.446;3532.252;3934.574;4424.634;5051.12;5835.108;6810.616;7574.536;8309.275;9249.603;10290.469;11260.48;12291.126;13362.736;14362.083;15397.396;16658.556;18116.045;19503.909;20984.278;22620.397;24333.161;26159.699;28110.459
Colombia;2761.686;3024.435;3172.15;3277.495;3436.621;3680.383;3892.384;4116.577;4343.979;4573.543;4849.127;5027.579;5260.803;5586.352;5892.824;6223.52;6364.159;6609.242;6618.834;6351.124;6584.16;6754.629;6945.662;7260.494;7757.38;8273.734;8993.598;9750.657;10143.069;10222.163;10664.975;11553.558;12093.717;12720.693;13414.702;13798.411;14073.167;14371.577;14935.683;15541.193;16264.966;17052.535;17885.706;18758.868;19676.868
Comoros;963.379;1085.051;1170.358;1225.022;1309.084;1346.41;1359.766;1379.466;1453.962;1450.904;1571.568;1575.216;1693.133;1739.708;1670.087;1763.545;1749.158;1818.896;1801.262;1837.893;1821.999;1922.382;2000.326;2034.3;2102.379;2236.67;2206.349;2226.644;2300.122;2331.548;2384.672;2469.497;2528.788;2617.593;2650.384;2636.932;2660.99;2716.999;2789.537;2799.036;2897.948;2984.783;3070.617;3160.53;3252.325
Congo, Dem. Rep. of the;786.387;841.159;860.671;878.014;923.298;926.352;957.994;975.712;982.394;975.844;915.653;838.988;743.792;637.817;591.88;601.145;585.459;537.509;512.251;490.087;446.871;434.42;427.069;430.708;442.556;453.916;476.898;503.942;528.618;530.778;557.278;589.225;624.355;669.121;724.316;759.683;763.074;782.931;823.93;849.125;873.474;894.908;926.205;956.372;990.854
Congo, Republic of ;1973.22;2149.969;2267.821;2340.762;2408.488;2467.115;2498.614;2541.541;3111.55;3689.972;3750.416;3852.757;3944.868;3901.239;3673.821;3805.207;3942.57;3888.291;3979.532;3836.831;4116.85;4260.605;4415.917;4423.902;4586.286;4971.625;5308.78;5234.287;5496.031;5826.742;6251.983;6438.221;6646.788;6814.326;7234.493;7318.312;7009.658;6844.007;6948.527;7174.011;7336.446;7445.528;7413.187;7470.244;7602.153
Costa Rica;3561.317;3697.503;3534.007;3670.27;3991.584;4025.941;4207.724;4392.851;4579.124;4899.771;5139.139;5309.422;5800.544;6196.271;6421.131;6634.781;6657.911;6969.95;7357.03;7574.287;8098.425;8254.657;8512.62;8898.157;9383.75;9899.346;10775.028;11798.005;12404.646;12197.206;12709.845;13361.785;14087.299;14473.499;15069.923;15590.114;16225.144;16895.71;17565.529;18037.749;18650.945;19350.871;20097.101;20918.725;21840.362
Croatia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8122.326;7824.358;8649.791;9568.083;10221.095;10899.133;11404.125;11327.191;12489;13436.647;14366.295;15446.092;15989.071;17153.051;18540.717;20062.848;20878.95;19526.155;19511.214;20486.285;20461.052;20776.053;21231.779;22145.497;23332.492;24757.027;26256.333;27728.66;29207.129;30808.258;32406.139;33991.765;35630.227
