country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Afghanistan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18.835;20.852;21.557;24.858;26.983;31.404;33.252;40.403;44.323;48.18;55.963;60.181;62.948;64.231;66.301;69.35;72.958;76.486;80.717;85.678;91.329;97.814;105.271
Albania;5.563;6.437;7.033;7.388;7.808;7.934;8.547;8.689;8.869;10.12;9.449;7.033;6.676;7.49;8.369;9.305;10.338;9.367;10.309;11.806;12.908;14.285;15.169;16.305;17.668;19.225;20.976;22.828;25.017;26.054;27.334;28.616;29.578;30.398;31.51;32.545;33.972;35.934;38.305;40.151;42.594;45.208;47.966;50.887;53.989
Algeria;86.89;97.964;110.674;121.219;132.626;144.483;147.097;149.68;152.014;165.557;173.127;176.834;183.759;184.157;186.397;197.627;208.893;214.833;228.326;239.035;253.664;267.004;286.417;312.741;334.97;365.782;383.2;406.767;424.465;434.682;455.649;478.3;504.004;527.206;557.368;584.008;608.937;628.47;652.795;681.396;711.643;739.074;764.802;787.876;810.106
Angola;11.443;11.974;12.714;13.767;15.119;16.143;16.946;18.074;19.858;20.645;20.679;21.59;24.601;27.946;31.543;35.541;40.249;43.921;46.499;48.199;50.782;54.078;62.441;65.502;74.633;88.524;101.734;119.104;134.978;137.175;145.516;153.714;170.045;181.601;193.882;197.749;194.641;198.009;200.4;203.433;209.861;220.35;232.25;246.67;261.153
Antigua and Barbuda;0.268;0.304;0.323;0.353;0.403;0.448;0.509;0.556;0.606;0.663;0.708;0.748;0.774;0.834;0.909;0.888;0.963;1.034;1.095;1.152;1.256;1.22;1.252;1.353;1.469;1.612;1.872;2.1;2.14;1.896;1.772;1.774;1.869;1.89;1.998;2.097;2.235;2.348;2.583;2.735;2.882;3.016;3.138;3.264;3.397
Argentina;177.139;182.761;187.943;202.595;214.104;205.522;224.641;236.018;239.561;231.51;236.961;270.693;305.378;332.154;359.023;356.122;382.685;420.859;441.982;433.185;439.374;429.214;388.504;431.157;482.22;541.253;602.507;674.423;715.435;678.224;755.6;817.698;824.828;859.487;853.398;885.833;876.387;916.719;915.749;903.542;909.669;941.751;982.568;1033.302;1087.83
Armenia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.908;4.318;4.649;5.127;5.491;5.775;6.206;6.496;7.029;7.864;9.171;10.654;12.087;14.222;16.586;19.374;21.123;18.272;18.892;20.193;22.048;23.175;24.455;25.514;25.829;28.294;30.502;32.909;35.173;37.514;39.988;42.624;45.439
Aruba;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.3;2.372;2.582;2.66;2.736;3.009;2.984;2.932;3.046;3.375;3.522;3.667;3.842;3.923;3.505;3.427;3.622;3.641;3.859;3.966;3.989;4.05;4.223;4.377;4.487;4.621;4.769;4.918;5.071;5.23
Australia;155.621;177.374;188.452;194.905;214.753;233.634;244.172;262.453;283.265;307.989;324.313;331.898;348.17;370.325;396.735;416.57;441.839;469.944;497.678;527.309;555.473;582.418;616.342;644.554;690.233;732.215;775.644;831.27;870.107;893.263;925.231;970.678;1027.627;1068.008;1116.519;1155.909;1200.433;1252.669;1318.344;1364.835;1423.419;1490.315;1561.225;1635.011;1711.954
Austria;84.888;92.827;100.443;107.304;111.545;117.654;122.832;127.985;133.772;144.42;156.336;167.186;174.576;179.654;187.898;196.956;205.372;213.287;223.413;234.699;248.045;256.697;265.065;272.529;287.52;303.129;323.09;344.136;355.952;345.164;355.601;373.64;383.398;390.224;400.074;408.86;421.519;440.412;463.528;479.364;497.19;515.318;533.798;552.975;572.905
Azerbaijan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34.876;27.456;22.525;20.002;20.883;23.131;24.796;28.021;30.431;33.115;36.814;41.326;46.366;61.178;84.754;109.192;123.105;135.666;143.819;144.514;150.531;162.122;169.742;173.309;169.739;173.202;179.144;187.26;195.006;203.3;211.968;221.284;231.197
Bahamas, The;2.519;2.677;3.021;3.353;3.558;3.821;3.999;4.249;4.499;4.782;5.014;4.966;4.885;5.016;5.285;5.632;5.977;6.381;6.757;7.345;7.82;8.202;8.557;8.605;8.915;9.505;10.039;10.458;10.414;10.055;10.328;10.609;11.146;11.007;11.293;11.479;11.649;11.877;12.357;12.691;12.871;13.413;13.919;14.424;14.948
Bahrain;6.218;6.995;7.903;8.787;9.486;9.695;9.938;10.059;11.034;11.582;12.437;13.151;14.409;15.872;16.732;17.411;18.306;19.059;20.208;21.724;23.769;24.895;26.136;28.297;31.088;34.226;37.542;41.748;45.216;46.718;49.312;51.341;54.277;58.22;61.878;64.312;67.235;71.107;74.134;76.951;80.123;83.7;87.465;91.703;96.327
Bangladesh;41.221;47.642;52.208;56.754;61.258;65.561;69.546;73.356;77.756;84.278;91.456;98.524;105.607;112.784;120.391;128.778;137.711;147.516;156.701;167.581;180.92;193.825;206.43;222.409;242.347;265.645;292.434;319.864;344.069;365.119;391.648;425.793;461.124;497.545;538.751;581.604;629.947;690.486;763.43;837.588;917.805;1005.131;1100.132;1204.066;1317.967
Barbados;1.517;1.628;1.644;1.717;1.843;1.923;2.061;2.167;2.322;2.5;2.508;2.492;2.403;2.48;2.583;2.691;2.849;3.035;3.184;3.241;3.461;3.453;3.536;3.679;3.832;4.108;4.472;4.693;4.818;4.608;4.555;4.619;4.686;4.701;4.782;4.95;5.126;5.247;5.344;5.434;5.575;5.775;5.999;6.232;6.474
