country;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Albania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24.629863;29.359587;34.69009;51.409343;57.010235;57.789526;63.768684;60.612782;64.096916;60.244562;57.474271;58.203359;56.688106;53.550303;55.139806;59.666483;57.719552;59.412626;62.144467;70.391063;71.9923;73.716336;73.32441;71.86525;69.915506
Australia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.055231;16.444974;21.649964;27.678342;30.720653;31.781563;31.234079;29.422323;25.958852;23.754145;22.594567;19.551637;17.169526;15.051337;13.221008;11.947596;10.89097;9.9671036;9.6874212;11.752745;16.653755;20.396818;24.064527;27.539621;30.49848;34.024767;37.689878;40.458069;41.06615;41.368559
Austria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18.54767;17.294035;16.590254;16.602996;16.729623;22.716116;26.045652;28.333858;31.975029;33.942739;35.397001;37.269258;39.493514;43.412498;45.755211;47.505654;51.665818;55.187081;57.364927;56.331851;55.931697;56.134155;56.027695;60.628811;63.72078;67.864719;67.807187;63.05581;68.818757;61.103166;65.737618;66.354554;66.977827;64.896277;64.848658;68.317516;67.000706;64.740498;68.417358;79.579797;82.417665;82.178147;81.660932;81.011265;83.75794;84.403737;82.866163;78.489275;73.753625
Belarus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.5364585;8.391068;12.691347;16.351151;20.980393;32.546849;36.805213;58.223333;36.946222;36.859473;38.790605;53.006888;53.48163;53.159846;47.830775
Belgium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66.242235;63.192026;64.58902;63.409813;61.421301;59.203619;61.054881;61.306402;64.807662;68.83124;74.250529;86.71227;96.330181;106.63055;110.81124;115.42769;120.53436;124.9419;125.38481;122.21563;125.98527;127.42606;130.21722;134.31819;132.53694;130.54448;127.97266;123.2054;118.19609;114.41662;108.7692;107.59176;104.71125;101.11344;96.52373;94.677043;91.049464;87.028302;92.530771;99.536387;99.719804;102.59241;104.33238;105.45164;107.52338;106.34221;106.10921;103.40115;102.02994
Bosnia and Herzegovina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54.397341;56.038876;34.686286;35.230081;31.198184;27.635188;25.486588;25.515152;21.24532;18.709226;30.885399;35.066603;40.80537;39.550107;42.20738;42.499066;45.858714;45.531113;44.081497;39.239713;34.250914
Brazil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67.333064;76.160688;71.584435;68.112286;67.040882;64.672337;63.070242;61.456144;64.761254;62.464371;60.634818;61.606168;59.599243;61.615742;71.736185;77.476381;83.176733;87.00632
Bulgaria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;108.63238;76.65252;76.048768;73.160933;68.118112;54.15549;46.965144;38.863823;30.327443;28.898607;24.175412;20.871574;23.287789;23.538955;22.802581;24.177884;24.849403;35.125605;32.889115;37.317049;33.436181;30.214981
Cambodia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29.279917;30.15086;31.576208;37.183304;34.736961;35.234553;34.868812;39.748321;43.099419;42.703413;35.561037;30.682249;29.387334;26.995347;28.465165;28.74403;29.735496;31.534112;31.733744;31.901197;31.156691;29.124169;29.994901;28.6393
Canada;87.760582;76.530231;70.062839;67.200712;68.285626;66.464205;58.411871;57.639385;63.104036;64.183207;64.882445;67.368633;66.649318;65.385909;62.032601;58.316051;57.078414;57.030941;56.327239;54.432027;56.751577;57.899224;56.696628;52.336899;49.508775;49.88329;42.841351;44.304931;47.123651;44.477321;44.908341;46.401721;52.071173;57.614488;60.637381;65.625705;69.812322;70.252638;70.236253;71.48754;74.264633;81.244767;88.884694;94.731769;97.482067;100.08742;100.24727;95.275538;93.291379;88.966817;80.437481;81.462745;79.604536;75.912281;71.88983;70.641304;69.921327;66.861406;68.031347;79.395278;81.338882;81.907463;85.529624;86.213883;85.700629;91.319704;91.815939;90.092542;89.940024
