country;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Afghanistan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.048139916;0.04806965;0.024495048;0.019322406;0.016898072;0.01089175;0.010659886
Albania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.828620735;8.751885644;7.4635614;5.849801608;4.372021321;3.97648497;4.296761102;3.765516387;3.173386713;2.834475731;2.645013279;2.874065682;3.153838509;3.362853915;3.118942355
Algeria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.623376623;1.809467692;2.149447052;2.269433919;2.762404195;3.102359613;3.461439689;3.934285303;3.914268293;3.815038956;3.934788408;3.490241537;3.033519059;2.169925556;1.386284172;0.968421053;0.822097994;0.907479769;0.554504701;0.37404659;0.300245383;0.259650577
Angola;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.425620993;4.982023768;2.855016497;1.795187211;2.303012153;1.974304481;1.588139337;1.157236319;1.941940368;1.72218522;1.181279536;0.967765221
Argentina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.692277;0.868201;0.923335;0.78757;1.22112;2.46161;2.22274;2.47338;2.61647;2.28661;2.28017;2.16623;1.96173;2.14913;2.23989;2.14978;1.90181;1.96225;2.04407;1.99826;2.44196;2.56501;2.10587;1.8561;2.87668;2.62488;3.70256;2.20124;2.22032;2.86137;2.35435;1.7572;2.3776;2.96839;2.89873;3.24375;3.40302;3.21707;3.5123;2.56413;2.22813;2.1269;2.05698;1.82284;1.47788;1.40402;1.50726;1.4076;1.48684;1.75536;1.59203;1.51445;1.53485;1.3651;1.31757;1.06884;1.29214;1.37711;1.22115;1.19225;1.19628;1.41515;1.63629;1.63963;1.76794;2.00042;2.39894;3.14213;2.88395;2.12299;1.66513;1.43004;1.249;1.23875;1.4162;1.6335;1.56907;1.41289;1.61745;1.42938;1.40417;0.97705;0.820526;0.712098;0.744195;0.743238;0.689319;0.795489;0.74703;0.818553;0.816312;0.734932;0.67348;0.704325;0.533582;0.507424;0.456859;0.555585;0.605688;0.819631;0.505183;0.471699;0.380315;0.391654;2.8722;3.0347;3.61401;4.2475;4.06694;6.1316;5.22057;1.17389;0.914411;1.54713;1.62908;1.40657;2.88121;4.50298;2.25922;2.1173;2.34216;1.87329;1.54462;0.929807;0.930864;0.701073;0.886149;1.59376;1.08683;1.24048;1.6353;1.52246;2.33679;2.62657;3.40474;4.05443;4.73999;16.7986;7.70333;8.29691;6.21012;5.06333;4.54386;3.56592;3.83266;3.24242;2.93749
Armenia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.61232394;2.698103918;2.018776308;2.009734833;1.679382481;1.236779227;0.810408539;0.688062304;0.515489665;0.459670742;0.339736403;0.316163988;0.291326708;0.515544215;0.872478757;0.93292368
Australia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.147132;0.159722;0.204057;0.211558;0.264188;0.277778;0.295197;0.298484;0.298119;0.307692;0.292053;0.29573;1.25435;1.30802;1.25506;1.36285;1.27921;1.44955;4.51438;4.27273;1.82753;3.63569;3.14246;2.85261;2.62085;2.45019;2.53986;2.39899;2.331;1.68202;1.77047;1.29088;1.58691;1.73765;1.74624;1.49186;1.2951;1.11002;0.822383;0.763726;0.729015;0.453789;0.390503;0.310428;0.270032;0.226096;0.187179;2.348381213;2.502113271;2.402042518;2.3902692;2.42280285;2.470201397;2.370769117;2.435176293;2.391949347;2.431281035;2.41851466;2.307225258;2.329695069;2.338851475;2.541574708;2.514416146;2.862853693;2.927829154;3.103206928;3.283113715;3.532184165;3.849742819;4.14350335;4.35504697;4.808925583;5.199896986;5.343046265;4.933129173;4.922837871;4.60381312;4.3004543;4.074724942;3.665799;3.96220684;4.171836978;4.01072295;3.331346435;2.720986858;2.347294714;2.117102216;2.009067825;1.835490656;1.734345815;1.623130747;1.488432293;1.381853487;1.295943979;1.254635968;1.276017645;1.60827662;1.24308;0.376012
Austria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.8512;2.78053;2.8761;2.94097;3.29026;3.38111;3.57233;3.33201;3.44184;3.56399;3.40961;3.26507;3.54644;3.55262;3.59917;3.45686;3.68058;3.72958;3.43459;3.24563;3.2426;3.31491;3.22349;3.08071;3.11207;2.76062;2.62242;2.60425;2.5808;2.66778;2.66704;2.68342;2.46291;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.03024;0.916424;0.811284;0.836184;0.886986;0.722911;0.769031;1.21043;1.21047;1.42683;1.5735;1.54814;1.42275;1.3279;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.461371;0.310843;0.257803;0.213748;0.184625;0.175758;0.201923;0.233645;0.291597;0.306818;0.384672;0.549315;0.615706;0.627148;0.628656;0.627007;0.615558;0.633542;0.623682;0.63133;0.749901;0.794943;0.813244;0.790141;0.752923;0.742112;0.785187;0.984466;1.61871;1.78202;2.12735;2.21074;2.38917;2.655;2.97198;2.90222;3.25197;3.42219;3.52213;3.8169;3.31187;3.30105;3.42448;3.62876;3.73246;3.88233;3.67424;4.08074;4.00945;3.73756;3.70696;3.49802;3.60639;3.51285;3.32796;3.07904;2.95317;2.98472;2.86733;2.87422;2.65882;2.80467;2.64509;2.15051
Azerbaijan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.394236612;0.260378253;0.279285466;0.228315431;0.221686607;0.126985276;0.086272292;0.104338316;0.085918778;0.10146168;0.09293607;0.409817186
Bahrain;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.039403371;0.483982484;0.699770475;0.813174449;0.821865443;0.932076621;0.86744257;0.900282228;1.036492269;1.221589996;1.578787505;1.72500659;1.126121329;1.346006401;1.086526831;1.226839548;1.235939597;0.948564929;0.643673248;0.689334751;1.12604476;1.177114809
