country;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Afghanistan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.07767277;-3.09541154;-2.003480553;-3.961422945;-1.2825104;0.887515574;-0.819915136
Albania;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-7.259672984;-1.592841587;-1.937329614;-2.664664263;-3.667835334;-2.11168021;-0.320946765;-1.236216534;-0.262012071;-0.500514051;-0.637138694;-2.256474725;-4.260398772;-0.827295688;-0.349717754
Algeria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.808802309;5.61050976;2.900900097;-3.646560042;0.897808256;3.688995955;7.37381323;6.864721962;0.337927272;1.920449726;13.63618285;7.229826595;4.19735562;7.045560992;6.645525361;14.59758001;14.74519551;7.031460803;9.576594957;-5.071201583;-0.086227814;-0.177839928
Angola;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.225708784;8.867178151;-0.254669797;-4.085875773;3.722247925;11.36377988;13.39914352;5.812808702;-2.512597601;-5.63275728;6.725971414;11.21534648
Argentina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.093714;-1.22291;-0.156371;-1.01014;-0.387789;-0.273512;-3.31462;1.29046;1.22328;-0.307157;-0.802877;-1.98739;0.285038;1.06418;1.15009;NA;-0.406456;-3.45372;-2.14141;-2.06963;-0.226108;0.176897;2.46054;1.16973;NA;0.807654;-0.781651;0.871185;2.28065;1.79785;0.761181;-2.43216;0.920867;-6.34422;2.50028;2.82588;2.85972;1.01616;3.25901;2.7186;-1.29498;1.80196;1.85671;2.10172;-1.09339;-0.831128;-0.68;0.631906;0.875045;-1.2697;-1.04554;-0.616077;-0.648619;0.229428;1.01352;1.26747;0.306609;-0.486039;0.289765;0.513584;0.732604;0.415109;-1.66312;0.118324;-0.178416;-1.94006;-0.576959;1.95143;1.6134;0.560616;0.509029;-0.008125;-0.366938;-0.854808;-1.67744;-0.680071;-1.28378;-1.48956;-2.24355;-3.18299;-3.84083;-3.14488;-0.780501;-2.01974;-3.23497;-2.63978;-2.83327;-2.21656;-2.34877;-2.39503;-2.93154;-3.03798;-2.05105;-5.90549;-4.29136;-1.4774;2.1863;0.087724;-0.046591;-0.518542;-0.380683;-0.506213;1.03855;0.645151;3.41006;4.04627;3.93612;4.13166;2.59012;5.05151;2.31715;-1.21658;0.371964;0.185656;0.127091;0.269949;-1.04771;-0.174148;-0.627008;0.731905;5.93782;5.17312;3.42963;-0.81591;0.683572;0.563924;1.8508;3.13268;4.06879;2.19743;1.8666;0.561782;0.332833;0.584747;-0.732196;0.445594;-1.28178;0.932278;3.38464;5.44673;4.64585;4.17596;2.46521;2.75524;0.210011;1.68336;-0.109569
Armenia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.591867201;-1.69474202;-2.018066994;-1.465197763;-7.170920513;-4.10694621;-1.935785674
Australia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.147132;-0.12963;-0.905728;-3.25593;-4.72603;-4.08192;-4.5083;-2.12769;-1.70622;-0.635704;-0.039073;-0.207776;0.998838;1.0006;0.75188;0.6728;0.753505;0.446999;3.71406;4.29752;2.10443;3.91593;3.37989;3.02414;2.90041;2.69251;3.30951;2.90404;0.18648;-3.48418;-10.6508;-10.5163;-7.28009;-2.35094;1.29766;3.49346;2.01203;5.40498;2.66795;0.32338;-0.132217;0.187507;0.47381;1.30995;-0.056477;-0.024163;0.251446;2.815777474;1.724429417;2.026886203;2.13096978;2.617145325;1.011097411;0.604675171;0.788859926;1.691493592;2.965837245;2.185345041;2.073354472;1.360831373;2.499751186;0.077315602;-0.958673715;-0.58089904;-1.457717609;-1.083592637;0.962253488;0.661012721;0.603122582;-1.048954744;-1.301976122;-0.668484401;-0.036900511;1.841137534;3.274067182;4.14863591;3.317453571;1.141526142;-1.847101562;-2.688267598;-0.694343433;-0.194390279;0.835181846;1.834529662;2.591860455;2.72201878;3.803714898;1.286329653;1.704885635;2.797476952;2.47919175;2.57511382;2.957683061;2.57933376;2.764266103;-1.964134377;-3.713955189;-3.40152;-4.03799
Austria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.45125;-1.12696;1.81789;2.25004;-3.14226;2.80661;3.14044;2.24678;2.47313;1.95882;3.15372;-0.749423;2.68205;2.24226;2.43615;3.81874;3.71563;3.83223;3.26351;3.16449;3.19656;2.75707;2.47438;2.11146;1.99335;2.0479;2.57263;-0.123972;1.34445;-2.83977;2.24867;2.70884;1.77274;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-4.66091;-4.03984;-5.36576;-6.46355;-6.74144;-6.10918;-8.9109;-10.2664;-7.95183;-2.12084;-3.7049;-3.91138;-2.48283;-1.51324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8.83925;-8.9241;-7.45896;-1.35673;-0.546875;-0.065454;-0.148504;-0.268224;-0.484034;-0.392424;-3.13504;-1.60822;0.126636;2.30238;1.74738;0.129173;1.09139;2.01758;2.35379;0.069794;-0.080027;0.716608;1.97502;2.24705;2.7244;1.97721;2.01205;-1.42171;-1.98706;-0.331433;-0.546963;-0.089322;0.770148;0.86964;-0.320114;-1.32098;0.584218;0.715244;-0.319209;-0.517999;-0.1164;0.234469;0.894086;0.69047;1.73207;-0.53174;-1.20775;-1.80087;-0.129785;1.79421;1.22437;1.07776;1.7623;3.32088;2.41828;1.42392;-1.61342;1.18234;1.19245;1.88009;1.6551;-1.34045;-1.73517;-0.438061
Azerbaijan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.782623988;0.266423629;-0.090115533;-1.540174036;1.183322695;2.557815525;1.235914417;2.398377269;20.07360069;6.674250575;14.07117933;11.70452952
Bahrain;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-11.69181984;-3.595298456;-5.754912389;0.470516033;-1.452599388;-3.891988233;1.272830304;-6.770959826;-2.994215427;-4.570112836;11.42868587;2.537330951;-2.731281948;-0.67121602;1.372953294;4.680797251;3.96434396;2.814711366;5.58438471;-5.953094906;-5.852957929;-0.475827456
