"country_text_id","year","imp_1","imp_2","imp_3","imp_4","imp_5","imp_6","imp_7","imp_8","imp_9","imp_10"
"AUS",1971,-0.487065709194409,-0.382160600018935,-0.378133742202404,-0.655220689627695,0.24174033864768,-0.125477317091614,-0.728575400479874,-0.629471765208326,-0.456568774295878,-0.167078092024845
"AUS",1972,-0.395129794908213,-0.0588548547915902,-0.815858314045491,-0.309294508502861,-0.752752363223896,-0.37144401227059,-0.753507817558409,-0.433242942131145,-0.37272930647747,-0.718048991000833
"AUS",1973,-0.598190396922677,0.025152662863136,-0.309037786919275,-0.521339272766163,-0.457320206706012,-0.498925678681045,-1.10252973198646,-0.701944387415321,-0.176429558285104,-0.202449986596204
"AUS",1974,-0.0931188935749523,-0.249074886937526,-0.674745999831981,-0.789690022830564,-0.516778011270378,-0.581545071184248,-0.686412001533398,-0.564439517292586,-0.143102426065913,-0.554395429360972
"AUS",1975,-0.581339263518456,-0.223961052279497,-0.434057422087649,-0.900116566093,-0.151132715356769,-0.0172853975472353,-0.309556904372476,-0.588545951040611,-0.460463994251876,0.269426911876827
"AUS",1976,-0.0853740918669165,-0.0236728620975343,-0.573818357633783,-0.738587230580835,-0.219952149735976,-0.313968614099862,-0.32643342704452,-0.391654066348462,0.0196158334496485,-0.355369767890631
"AUS",1977,0.0544970010046286,0.157186524796718,-0.379071839006491,-0.752854835450121,-0.622673787571128,-0.208009176668995,-0.266945728648477,-0.353792922217054,-0.406950156623624,-0.34335464966705
"AUS",1978,-0.303034233068995,-0.399354181177469,-0.552956020133788,-0.0118205732719692,-0.733351432653585,-0.351979571167285,-0.398014155484486,-0.147651586189227,-0.381359425053021,-0.574779703182065
"AUS",1979,-0.395606003171537,-0.12309782615058,-0.311599369941081,-0.814713084811151,-0.947258691692902,-0.35126235229021,-0.877039115519141,-0.602541276423096,-0.613391371953843,-0.239365593453727
"AUS",1980,-0.451753826506984,-0.634260600953493,-0.330971258525667,-0.521084617905514,-0.489973621570065,-0.531914591893178,-0.300273713460727,-0.536588181802879,0.00593372385774981,-0.0365603695746805
"AUS",1981,-0.350726286238575,-0.349884939622625,-0.354442959354529,-0.353630661687566,-0.357335273726897,-0.364474079526802,-0.354037278073246,-0.36381948256839,-0.36474708199897,-0.348538506049941
"AUS",1982,-0.374367274538337,-0.371433202916672,-0.376854547083278,-0.376977366026358,-0.380796969860537,-0.387180395434099,-0.375424090530423,-0.387644404353642,-0.387356683078643,-0.372239909439632
"AUS",1983,-0.395977341658109,-0.391306053877224,-0.39738565944456,-0.398443580082289,-0.402288124972403,-0.408085765806162,-0.395194614261462,-0.409373594484561,-0.408182927563723,-0.394054702030483
"AUS",1984,-0.416819322851319,-0.410549137399865,-0.417204788006157,-0.41919984887677,-0.423024711464408,-0.428295770555089,-0.414337084242279,-0.430314239901679,-0.428317381063936,-0.415121458664387
"AUS",1985,-0.43897653217861,-0.430844653278468,-0.438240653038678,-0.44113223118924,-0.445032457346004,-0.449624246377469,-0.434458210956517,-0.452626513802449,-0.449547149772655,-0.437347217342797
"AUS",1986,-0.47245957544774,-0.466111006388765,-0.472878893126666,-0.475304794128535,-0.479198028855027,-0.483867158656882,-0.469401821884389,-0.486296448562329,-0.484130885935214,-0.47147282545978
"AUS",1987,-0.505966029633328,-0.501179154352841,-0.507413500388273,-0.509430907355362,-0.513320882930544,-0.517988127200394,-0.504100041087596,-0.52001226158573,-0.51856595939943,-0.505497500581147
"AUS",1988,-0.537749521238064,-0.534574340261897,-0.540235615064831,-0.541854193532279,-0.545741252870508,-0.550457252936691,-0.537179067707194,-0.551968217465784,-0.551340184877897,-0.5378817039262
"AUS",1989,-0.571343608701105,-0.569250728579212,-0.574620556223238,-0.575871099141,-0.579855454759409,-0.584376414411802,-0.571423276607831,-0.585820209637023,-0.585518324717646,-0.571799677310464
