"country","country_text_id","year","regions","na_count","classification_core","freedom","equality","control","FKM_3_cluster","FKM_3_mb_FeC","FKM_3_mb_fEC","FKM_3_mb_FEc","FKM_4_cluster","FKM_4_mb_fEc","FKM_4_mb_FEc","FKM_4_mb_fEC","FKM_4_mb_FeC","FKM_5_cluster","FKM_5_mb_FEC","FKM_5_mb_fEc","FKM_5_mb_Fec","FKM_5_mb_FeC","FKM_5_mb_fEC","FKM_6_cluster","FKM_6_mb_FeC","FKM_6_mb_FEC","FKM_6_mb_Fec","FKM_6_mb_fEC","FKM_6_mb_fEc","FKM_6_mb_FEc"
"Albania","ALB",1992,"Europe",0,"Deficient Democracy",0.527514778851566,0.634499658450639,0.615294834155472,"fEC",0.016,0.943,0.041,"fEC",0.08,0.022,0.886,0.011,"fEC",0.128,0.137,0.03,0.02,0.685,"fEC",0.022,0.127,0.031,0.454,0.265,0.102
"Albania","ALB",1993,"Europe",0,"Deficient Democracy",0.518109198820214,0.644564660122278,0.585808035754095,"fEC",0.007,0.963,0.03,"fEc",0.583,0.066,0.327,0.025,"fEc",0.17,0.568,0.041,0.02,0.201,"fEc",0.007,0.041,0.014,0.059,0.809,0.069
"Albania","ALB",1994,"Europe",0,"Deficient Democracy",0.516912749781473,0.636396825708769,0.614083786506247,"fEC",0.021,0.928,0.051,"fEC",0.105,0.029,0.85,0.016,"fEC",0.096,0.119,0.025,0.017,0.743,"fEC",0.02,0.099,0.027,0.513,0.254,0.086
"Albania","ALB",1995,"Europe",0,"Deficient Democracy",0.527448031608466,0.6276763263584,0.612804656579883,"fEC",0.02,0.931,0.05,"fEC",0.055,0.016,0.92,0.008,"fEC",0.135,0.127,0.03,0.02,0.688,"fEC",0.023,0.141,0.032,0.462,0.238,0.104
"Albania","ALB",2001,"Europe",0,"Deficient Democracy",0.587871564582713,0.695951675393562,0.668580965749118,"fEC",0.006,0.976,0.018,"fEC",0.165,0.038,0.779,0.018,"fEC",0.182,0.22,0.039,0.024,0.535,"fEc",0.022,0.134,0.033,0.322,0.366,0.123
"Albania","ALB",2002,"Europe",0,"Deficient Democracy",0.600206201534618,0.697246397379906,0.671853340702779,"fEC",0.007,0.972,0.021,"fEC",0.195,0.045,0.741,0.02,"fEC",0.247,0.244,0.046,0.026,0.436,"fEc",0.023,0.169,0.037,0.267,0.356,0.147
"Albania","ALB",2003,"Europe",0,"Deficient Democracy",0.600094103271862,0.697246397379906,0.671854562071732,"fEC",0.007,0.972,0.021,"fEC",0.194,0.045,0.742,0.019,"fEC",0.246,0.244,0.045,0.026,0.438,"fEc",0.023,0.169,0.037,0.268,0.356,0.147
"Albania","ALB",2004,"Europe",0,"Deficient Democracy",0.607041187125232,0.697246397379906,0.6805447830831,"fEC",0.017,0.935,0.049,"fEC",0.111,0.031,0.843,0.015,"fEC",0.236,0.187,0.043,0.027,0.507,"fEC",0.026,0.195,0.039,0.327,0.276,0.138
"Albania","ALB",2005,"Europe",0,"Deficient Democracy",0.633601003655559,0.70528007322939,0.682701725778571,"fEC",0.035,0.816,0.149,"fEC",0.368,0.098,0.499,0.034,"FEC",0.518,0.216,0.052,0.026,0.188,"FEC",0.025,0.307,0.048,0.146,0.253,0.221
"Albania","ALB",2006,"Europe",0,"Deficient Democracy",0.637003580761849,0.702043672166299,0.677238236305283,"fEC",0.047,0.709,0.244,"fEc",0.45,0.127,0.384,0.039,"FEC",0.643,0.176,0.047,0.021,0.114,"FEC",0.024,0.342,0.05,0.109,0.216,0.26
