names;update
3.1 Elections 53;
3.1.1 Disclosure of campaign donations (C) (v2eldonate) 53;
3.1.2 Public campaign finance (C) (v2elpubfin) 54;
3.1.3 EMB autonomy (C) (v2elembaut) 54;
3.1.4 EMB capacity (C) (v2elembcap) 55;
3.1.5 Elections multiparty (C) (v2elmulpar) 55;
3.1.6 Election voter registry (C) (v2elrgstry) 56;
3.1.7 Election vote buying (C) (v2elvotbuy) 56;
3.1.8 Election other voting irregularities (C) (v2elirreg) 57;
3.1.9 Election government intimidation (C) (v2elintim) 57;
3.1.10 Election other electoral violence (C) (v2elpeace) 58;
3.1.11 Election boycotts (C) (v2elboycot) 58;
3.1.12 Election free campaign media (C) (v2elfrcamp) 59;
3.1.13 Election paid campaign advertisements (C) (v2elpdcamp) 59;
3.1.14 Election paid interest group media (C) (v2elpaidig) 59;
3.1.15 Election free and fair (C) (v2elfrfair) 60;
3.1.16 Election losers accept results (C) (v2elaccept) 60;
3.1.17 Election assume office (C) (v2elasmoff) 61;
3.1.18 Regional government exists (A,C) (v2elreggov) 61;
3.1.19 Regional government name (A,C) (v2elregnam) 62;
3.1.20 Regional government elected (A,C) (v2elsrgel) 62;
3.1.21 Regional offices relative power (C) (v2elrgpwr) 63;
3.1.22 Local government exists (A,C) (v2ellocgov) 63;
3.1.23 Local government name (A,C) (v2ellocnam) 64;
3.1.24 Local government elected (A,C) (v2ellocelc) 64;
3.1.25 Local offices relative power (C) (v2ellocpwr) 65;
3.1.26 Subnational elections free and fair (C) (v2elffelr) 65;
3.1.27 Subnational elections held (C) (v2elffelrbin) 66;
3.1.28 Subnational election unevenness (C) (v2elsnlsff) 66;
3.1.29 Subnational election area less free and fair name (C) (v2elsnless) 66;
3.1.30 Subnational election area less free and fair characteristics (C) (v2elsnlfc) . . . 67;
3.1.31 Subnational election area more free and fair name (C) (v2elsnmore) . . . . . . 67;
3.1.32 Subnational election area more free and fair characteristics (C) (v2elsnmrfc) . 68;
3.1.33 Suffrage (A) (v2asuffrage) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 68;
3.1.34 Minimum voting age (A) (v2elage) . . . . . . . . . . . . . . . . . . . . . . . . 69;
3.1.35 Compulsory voting (A) (v2elcomvot) . . . . . . . . . . . . . . . . . . . . . . . 69;
3.1.36 Election domestic election monitors (B) (v2eldommon) . . . . . . . . . . . . . 69;
