"";"varnames";"Estimate"
"1";"(Intercept)";"31.314*** (0.419)"
"2";"year_id";"0.127*** (0.013)"
"3";"gdp_capita_w";"0  (0.061)"
"4";"mean_gdp_capita";"1.405*** (0.214)"
"5";"log_pop_w";"0.076  (0.042)"
"6";"mean_log_pop";"0.107  (0.165)"
"7";"age65_w";"-0.104  (0.087)"
"8";"mean_age65";"0.528* (0.241)"
"9";"SOCX_w";"-0.101* (0.05)"
"10";"mean_SOCX";"1.634*** (0.12)"
"11";"cso_w";"-0.056* (0.028)"
"12";"mean_cso";"-1.28*** (0.175)"
"13";"union_density";"-0.132*** (0.007)"
"14";"gdp_export_w";"-0.025  (0.032)"
"15";"mean_gdp_export";"-0.224  (0.164)"
"16";"left_right_w";"0.1  (0.068)"
"17";"mean_left_right";"0.441** (0.142)"
"18";"mod_cluster_1stfEC";"-0.523  (0.331)"
"19";"mod_cluster_1stFec";"2.325*** (0.362)"
"20";"mod_cluster_1stFEC";"0.049  (0.253)"
