"";"varnames";"Estimate"
"1";"(Intercept)";"31.127*** (0.419)"
"2";"year_id";"0.13*** (0.014)"
"3";"gdp_capita_w";"-0.006  (0.061)"
"4";"mean_gdp_capita";"1.387*** (0.209)"
"5";"log_pop_w";"0.075  (0.042)"
"6";"mean_log_pop";"0.096  (0.164)"
"7";"age65_w";"-0.093  (0.086)"
"8";"mean_age65";"0.487* (0.236)"
"9";"SOCX_w";"-0.101* (0.05)"
"10";"mean_SOCX";"1.595*** (0.119)"
"11";"cso_w";"-0.057* (0.028)"
"12";"mean_cso";"-1.227*** (0.154)"
"13";"union_density";"-0.131*** (0.007)"
"14";"gdp_export_w";"-0.025  (0.032)"
"15";"mean_gdp_export";"-0.213  (0.164)"
"16";"left_right_w";"0.102  (0.068)"
"17";"mean_left_right";"0.448** (0.137)"
"18";"mod_cluster_2ndFec";"2.433*** (0.364)"
"19";"mod_cluster_2ndFEC";"0.196  (0.253)"
