"";"varnames";"Estimate"
"1";"(Intercept)";"4.639*** (0.709)"
"2";"Gini_imp_lag";"0.857*** (0.023)"
"3";"as.numeric(year_id)";"0.01  (0.007)"
"4";"gdp_capita_w";"-0.042  (0.044)"
"5";"mean_gdp_capita";"0.149  (0.081)"
"6";"log_pop_w";"0.029  (0.029)"
"7";"mean_log_pop";"0.006  (0.079)"
"8";"age65_w";"0.048  (0.035)"
"9";"mean_age65";"0.021  (0.084)"
"10";"SOCX_w";"-0.133** (0.04)"
"11";"mean_SOCX";"0.189* (0.079)"
"12";"cso_w";"-0.122*** (0.031)"
"13";"mean_cso";"-0.158** (0.058)"
"14";"union_density";"-0.018*** (0.004)"
"15";"gdp_export_w";"-0.033  (0.031)"
"16";"mean_gdp_export";"-0.041  (0.059)"
"17";"left_right_w";"0.012  (0.03)"
"18";"mean_left_right";"0.071  (0.064)"
"19";"mod_cluster_2ndFec";"0.535** (0.165)"
"20";"mod_cluster_2ndFEC";"0.021  (0.136)"
