country;cent
Albania;5
Argentina;2.5
Australia;2
Austria;5.5
Belgium;4.5
Benin;4
Bosnia and Herzegovina;NA
Botswana;4
Brazil;0
Bulgaria;6
Burkina Faso;NA
Canada;3
Cape Verde;5
Chile;1
Colombia;0.5
Costa Rica;4
Croatia;3.5
Cyprus;4
Czech Republic;5.5
Denmark;6
Estonia;6
Fiji;3.5
Finland;4
France;2.5
Georgia;3
Germany;4
Ghana;2
Greece;4
Guyana;4
Hungary;5
Iceland;6
India;2
Indonesia;5
Ireland;4
Israel;6
Italy;4
Jamaica;3.5
Japan;4.5
Latvia;6
Liberia;NA
Lithuania;4
Luxembourg;4
Macedonia;5
Mauritius;5
Moldova;5
Mongolia;3
Montenegro;NA
Namibia;5
Nepal;3.5
Netherlands;5.5
New Zealand;6
Norway;5.5
Panama;3
Peru;NA
Poland;4.5
Portugal;6
Romania;4.5
São Tomé and Príncipe;5
Senegal;3
Serbia;NA
Seychelles;2
Slovakia;6
Slovenia;6
Solomon Islands;3
South Africa;4.5
South Korea;4
Spain;5
Sri Lanka;2.5
Suriname;5
Sweden;6
Switzerland;1
Tanzania;NA
Timor-Leste;NA
Trinidad and Tobago;NA
Tunisia;NA
Turkey;6
United Kingdom;4
United States of America;0
Uruguay;2
Vanuatu;3.5
Venezuela;3
Zambia;2
